date,year_x,month_x,city,theft_cases,traffic_accident_cases,alcohol_drive_cases,general_injury_cases,total_crime_exclude_traffic,sexual_assault_cases,violent_crime_cases,drug_cases,pop,station,sunshine_hours,avg_humidity,avg_temp,rainy_days,precipitation
2011/10/1,2011,10,南投縣,187,13,122,26,570,11,12,96,523176,日月潭,123.3,84,20.9,10,56
2011/10/1,2011,10,嘉義市,134,6,72,11,371,3,4,43,271644,嘉義,166.5,81,24.9,5,25.8
2011/10/1,2011,10,基隆市,147,13,61,24,489,6,11,148,380501,基隆,24.4,79,23.8,21,473.2
2011/10/1,2011,10,宜蘭縣,135,29,104,19,425,10,3,50,459296,宜蘭,33.5,82,23.2,23,579.6
2011/10/1,2011,10,屏東縣,261,28,133,23,834,21,17,204,865515,恆春,154.2,74,26.3,9,190.2
2011/10/1,2011,10,新竹市,169,22,99,26,430,4,4,42,418927,新竹,156.6,78,24.5,9,48
2011/10/1,2011,10,澎湖縣,13,2,25,6,86,,1,10,97007,澎湖,137.5,75,25,2,7.5
2011/10/1,2011,10,臺中市,958,9,258,65,2284,47,38,246,2661290,臺中,188.6,70,26,5,13.3
2011/10/1,2011,10,臺北市,888,191,387,249,3589,28,36,341,2643136,臺北,53.3,77,24.1,13,92.6
2011/10/1,2011,10,臺南市,885,113,344,79,2076,24,29,236,1876312,臺南,165.2,72,26.2,7,27.8
2011/10/1,2011,10,臺東縣,22,,19,3,105,8,1,31,228454,臺東,122.2,76,25.5,15,404.6
2011/10/1,2011,10,花蓮縣,126,15,49,40,403,18,1,47,336885,花蓮,70.6,76,24.7,15,487
2011/10/1,2011,10,連江縣,1,,,,3,,,1,10084,馬祖,123,79,21.3,10,61.5
2011/10/1,2011,10,金門縣,4,1,7,5,34,1,,,102827,金門,173.2,69,23.6,3,1.5
2011/10/1,2011,10,高雄市,1936,155,632,156,4520,41,75,564,2773526,高雄,167.4,77,27,7,55
2011/11/1,2011,11,南投縣,168,13,96,27,545,14,4,84,522963,日月潭,127.7,85,19.4,10,177
2011/11/1,2011,11,嘉義市,105,1,71,5,304,3,4,46,271594,嘉義,108,84,23.2,8,180.6
2011/11/1,2011,11,基隆市,90,6,41,11,377,8,7,165,380281,基隆,38,83,22.4,24,896.1
2011/11/1,2011,11,宜蘭縣,90,21,118,13,387,7,2,60,459227,宜蘭,59.4,84,22,25,622.8
