date,year,month,city,pop
2014-10-01,2014,10,南投縣,514894
2014-11-01,2014,11,南投縣,514836
2014-12-01,2014,12,南投縣,514315
2014-01-01,2014,1,南投縣,517037
2014-02-01,2014,2,南投縣,516731
2014-03-01,2014,3,南投縣,516315
2014-04-01,2014,4,南投縣,516207
2014-05-01,2014,5,南投縣,515996
2014-06-01,2014,6,南投縣,515784
2014-07-01,2014,7,南投縣,515564
2014-08-01,2014,8,南投縣,515345
2014-09-01,2014,9,南投縣,515081
2014-10-01,2014,10,嘉義市,270779
2014-11-01,2014,11,嘉義市,270858
2014-12-01,2014,12,嘉義市,270883
2014-01-01,2014,1,嘉義市,270941
2014-02-01,2014,2,嘉義市,271072
2014-03-01,2014,3,嘉義市,271103
2014-04-01,2014,4,嘉義市,271063
2014-05-01,2014,5,嘉義市,270983
2014-06-01,2014,6,嘉義市,270841
2014-07-01,2014,7,嘉義市,270818
2014-08-01,2014,8,嘉義市,270885
2014-09-01,2014,9,嘉義市,270826
2014-10-01,2014,10,嘉義縣,525775
2014-11-01,2014,11,嘉義縣,525579
2014-12-01,2014,12,嘉義縣,524783
2014-01-01,2014,1,嘉義縣,528825
2014-02-01,2014,2,嘉義縣,528148
2014-03-01,2014,3,嘉義縣,527721
2014-04-01,2014,4,嘉義縣,527470
2014-05-01,2014,5,嘉義縣,527196
2014-06-01,2014,6,嘉義縣,526936
2014-07-01,2014,7,嘉義縣,526735
2014-08-01,2014,8,嘉義縣,526469
2014-09-01,2014,9,嘉義縣,526028
2014-10-01,2014,10,基隆市,373463
2014-11-01,2014,11,基隆市,373340
2014-12-01,2014,12,基隆市,373077
2014-01-01,2014,1,基隆市,374799
2014-02-01,2014,2,基隆市,374658
2014-03-01,2014,3,基隆市,374428
2014-04-01,2014,4,基隆市,374269
2014-05-01,2014,5,基隆市,373998
2014-06-01,2014,6,基隆市,373786
2014-07-01,2014,7,基隆市,373702
2014-08-01,2014,8,基隆市,373721
2014-09-01,2014,9,基隆市,373597
2014-10-01,2014,10,宜蘭縣,458799
2014-11-01,2014,11,宜蘭縣,458880
2014-12-01,2014,12,宜蘭縣,458777
2014-01-01,2014,1,宜蘭縣,458378
2014-02-01,2014,2,宜蘭縣,458312
2014-03-01,2014,3,宜蘭縣,458427
2014-04-01,2014,4,宜蘭縣,458550
2014-05-01,2014,5,宜蘭縣,458568
