date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
91年 1月,86,129,42,62,96,105,17,16,19,28,39,23,36,12,3,27,4,19,11,17,8,8
91年 2月,71,129,33,55,83,85,24,9,10,20,39,35,33,11,3,33,3,11,8,23,1,－
91年 3月,114,177,26,102,95,129,31,9,23,34,34,36,57,20,6,30,10,13,8,13,13,－
91年 4月,101,180,34,79,96,115,26,22,29,34,45,38,49,16,4,33,9,16,14,27,4,1
91年 5月,126,174,28,85,103,113,21,19,19,43,56,50,52,17,3,40,8,17,26,19,7,－
91年 6月,123,173,35,85,87,108,19,19,19,51,43,30,65,19,1,49,10,19,13,25,7,3
91年 7月,116,177,41,85,99,93,23,21,21,41,54,27,53,11,5,34,10,11,23,44,－,－
91年 8月,105,170,26,73,94,120,18,25,22,46,37,36,55,20,6,42,4,16,19,20,5,3
91年 9月,85,156,31,97,91,113,15,31,36,41,43,38,45,26,1,38,5,8,18,22,7,1
91年 10月,129,229,24,74,112,111,22,31,30,32,56,44,44,21,5,36,10,19,10,29,3,－
91年 11月,121,188,31,66,84,94,14,27,28,34,35,35,44,22,2,24,11,18,15,22,4,7
91年 12月,123,178,20,59,83,124,21,10,18,37,45,25,36,10,3,26,3,8,11,15,4,－
92年 1月,99,155,36,65,68,97,10,14,21,42,31,22,38,11,5,24,7,17,19,26,5,－
92年 2月,72,112,19,67,88,84,10,11,19,34,45,33,50,9,2,13,9,12,12,30,3,－
92年 3月,59,162,16,61,61,103,13,12,14,29,19,15,41,14,－,20,3,9,8,10,4,－
92年 4月,96,165,22,67,93,120,14,6,19,21,17,21,34,13,2,25,10,7,9,16,3,1
92年 5月,100,129,18,65,81,119,17,12,16,23,34,20,52,9,8,21,4,9,2,16,2,－
92年 6月,105,183,26,85,111,117,32,13,16,35,41,32,41,20,2,24,6,9,4,20,4,1
92年 7月,97,181,31,78,110,108,36,14,26,46,37,27,51,13,3,26,8,11,4,21,4,1
92年 8月,75,177,17,73,69,89,18,13,21,36,42,24,49,8,5,27,9,16,14,23,5,－
92年 9月,71,180,20,86,69,120,16,9,12,30,39,29,39,9,6,24,14,20,6,20,4,－
92年 10月,74,154,19,62,82,90,17,19,28,26,27,23,52,25,11,18,7,13,17,17,5,－
92年 11月,55,147,13,73,53,90,18,14,13,36,26,26,26,17,3,14,1,9,8,23,1,1
92年 12月,45,139,17,57,63,88,20,20,13,32,36,26,28,9,1,18,9,10,12,21,5,－
93年 1月,38,104,6,53,51,70,14,7,17,34,18,12,24,13,2,15,3,7,11,14,3,－
93年 2月,48,106,8,56,60,71,15,2,9,23,25,23,25,17,2,12,7,14,7,16,6,2
93年 3月,42,139,8,50,65,88,16,4,8,34,21,25,27,19,－,16,9,18,8,12,7,－
93年 4月,43,113,17,68,76,90,14,12,1,27,13,17,35,11,1,13,11,11,4,4,3,－
93年 5月,75,128,16,60,75,87,14,14,8,28,31,23,28,21,3,24,5,7,13,20,8,－
93年 6月,42,115,17,68,48,104,20,8,6,25,13,24,25,12,2,16,7,14,6,12,9,3
93年 7月,55,133,11,54,58,78,26,15,12,33,28,16,29,20,3,18,4,11,15,21,5,－
93年 8月,66,146,14,89,57,77,15,9,14,37,20,22,33,19,3,29,8,12,14,17,4,－
93年 9月,81,149,27,86,54,100,15,10,14,45,22,26,25,16,－,17,3,21,15,17,6,－
93年 10月,70,152,25,86,95,112,24,18,12,47,29,12,44,17,2,34,10,11,13,12,7,1
93年 11月,76,161,23,87,66,100,18,19,14,44,18,24,24,17,3,26,8,14,7,15,10,－
93年 12月,71,171,30,102,70,79,22,9,7,31,21,19,22,17,2,19,7,7,13,17,9,2
94年 1月,66,112,25,70,57,73,18,8,5,35,19,10,29,8,1,14,4,9,4,12,4,2
94年 2月,35,109,12,67,57,61,14,10,6,19,8,15,16,7,1,26,6,6,8,8,3,－
94年 3月,68,133,24,102,66,105,24,14,7,35,21,10,18,10,3,20,10,11,20,25,6,2
94年 4月,62,131,41,92,82,100,14,16,9,33,20,25,32,10,2,16,9,7,10,16,5,2
94年 5月,85,155,50,118,84,115,25,16,16,38,28,26,33,17,2,22,5,19,16,10,5,1
94年 6月,86,160,35,99,85,120,14,22,10,31,20,25,30,9,1,21,7,8,18,10,5,3
94年 7月,104,192,45,89,87,97,25,19,9,47,29,26,27,14,－,27,7,13,15,30,2,2
94年 8月,113,168,39,115,79,116,23,12,13,47,15,24,35,10,－,35,14,16,23,32,3,3
94年 9月,86,179,37,92,103,119,20,14,11,51,20,23,41,12,1,24,7,14,23,15,5,1
94年 10月,75,173,35,91,107,134,25,21,19,49,22,21,40,15,3,27,8,20,11,15,8,1
94年 11月,114,202,35,85,96,135,23,12,17,49,30,28,42,25,2,35,8,16,13,24,6,1
94年 12月,96,196,34,88,91,129,26,10,7,44,25,29,28,12,2,24,4,8,12,20,9,4
95年 1月,120,165,31,83,74,81,21,14,12,42,29,27,31,23,3,25,6,10,14,13,3,－
95年 2月,110,173,34,79,81,80,13,24,14,39,20,29,37,19,3,28,5,16,8,18,3,3
95年 3月,112,172,31,84,83,143,22,17,7,39,23,18,29,28,2,29,6,14,12,24,7,2
95年 4月,110,179,48,79,86,117,17,14,15,35,21,30,33,13,－,24,9,15,8,23,5,2
95年 5月,129,168,45,103,106,147,24,21,13,55,24,24,36,25,2,32,9,10,21,28,8,－
95年 6月,133,159,52,83,106,139,23,15,13,51,24,20,39,25,－,35,8,17,13,16,5,1
95年 7月,126,208,47,86,93,126,26,23,13,50,26,22,33,41,－,29,5,14,21,21,5,－
95年 8月,128,176,48,84,92,121,22,19,17,57,29,27,41,29,4,23,11,13,22,27,5,－
95年 9月,126,164,46,78,93,130,25,24,9,62,26,24,26,21,1,20,8,13,23,29,4,－
95年 10月,144,188,49,97,101,149,38,12,5,45,19,17,47,28,2,27,8,15,9,12,5,－
95年 11月,596,180,37,74,89,143,24,21,14,44,14,21,27,31,－,32,5,13,22,24,4,2
95年 12月,184,172,36,79,74,97,13,8,6,39,24,20,32,18,－,36,4,16,22,27,2,－
96年 1月,207,197,35,69,83,118,18,20,8,44,18,24,34,25,1,27,5,9,18,20,5,－
96年 2月,128,139,10,42,74,76,10,7,8,27,15,11,24,14,1,31,7,11,8,12,6,－
96年 3月,171,158,29,80,92,118,20,23,8,40,18,29,28,26,1,26,8,14,20,24,2,－
96年 4月,192,165,36,83,79,128,30,24,8,38,17,25,45,30,－,25,10,15,21,13,3,1
