date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
91年 1月,6274,4151,3962,6617,3101,6092,491,625,732,1545,821,790,510,1438,176,452,47,635,1127,800,39,25
91年 2月,5739,3659,3486,5119,2722,5639,550,595,872,1729,839,884,577,1321,202,518,66,885,1144,640,15,1
91年 3月,6901,4666,4071,6339,3016,6630,563,576,833,1544,803,946,756,1523,197,522,55,700,1136,692,81,6
91年 4月,6840,4894,3791,6528,3080,6814,623,569,864,1730,852,1082,698,1397,207,476,65,690,1129,863,38,6
91年 5月,6721,4855,3631,6692,3061,6332,652,750,759,1815,903,981,623,1451,202,514,68,675,1134,838,39,3
91年 6月,6453,4740,3183,5837,2873,5861,647,591,781,1796,848,838,619,1207,196,558,79,687,917,841,39,11
91年 7月,6619,5010,3845,6244,2683,5447,560,889,806,1858,853,907,510,1127,245,483,215,629,1007,1157,47,15
91年 8月,6851,5006,3802,6913,2856,5934,679,620,798,1881,781,1060,608,1231,245,560,64,810,1022,846,35,17
91年 9月,6432,4328,3478,5921,2753,6182,654,651,790,1826,777,820,659,1376,263,430,56,459,1070,857,42,7
91年 10月,7101,4940,3754,6223,3151,6380,635,803,957,1730,871,1124,584,1447,284,546,62,622,1027,992,44,-
91年 11月,6811,4558,3655,6130,2697,5458,578,653,859,1648,756,917,639,1215,225,435,78,503,875,753,23,32
91年 12月,6825,4654,3457,5890,2590,5602,586,631,773,1751,810,887,523,1296,318,458,76,514,929,775,51,7
92年 1月,7010,4659,3586,5821,2865,5748,635,723,877,1853,855,978,598,1431,317,456,59,644,1233,885,49,3
92年 2月,5420,3566,2738,4557,2772,4728,375,541,825,1457,752,875,528,1179,225,407,45,564,836,799,31,5
92年 3月,5809,4922,3457,6001,2791,5751,621,517,765,1647,663,878,564,1339,135,453,56,609,1162,711,40,4
92年 4月,6448,5008,3501,6215,3122,6027,530,535,814,1572,770,956,641,1365,183,480,70,650,994,807,42,2
92年 5月,6917,4528,3543,6437,2695,6233,525,761,797,1601,899,927,719,1433,228,434,38,635,1021,728,41,3
92年 6月,7446,4786,3946,6261,3215,6312,690,512,866,1821,705,1018,580,1494,222,437,62,486,1050,717,29,10
92年 7月,7563,4848,4271,6419,3238,6277,621,702,881,1937,801,1043,642,1329,214,541,67,746,939,879,39,5
92年 8月,7023,5144,4288,6559,2854,6086,664,716,791,1850,787,1032,585,1192,211,517,64,672,1007,786,31,1
92年 9月,6592,4941,3817,5982,2815,6197,611,642,800,1752,677,886,545,1246,249,446,72,732,960,794,61,4
92年 10月,7197,5364,3835,6436,3424,5467,596,715,959,2029,763,1059,604,1357,302,486,71,622,1029,784,66,-
92年 11月,6333,4732,3512,5821,2586,5156,668,678,863,1487,704,1022,505,1151,189,436,66,613,818,754,51,11
92年 12月,6760,4828,3361,5671,2723,5113,593,623,747,1777,724,988,539,1229,155,478,59,688,812,757,48,2
93年 1月,5315,3836,3006,4992,2366,4580,559,663,800,1493,624,809,500,1132,207,414,64,744,931,647,44,14
93年 2月,6162,4359,3285,5695,2551,5301,520,612,760,1869,673,958,502,1301,212,462,73,628,1028,797,46,9
93年 3月,6662,4642,3348,6445,2825,5828,578,668,769,2031,833,1030,613,1371,176,478,83,693,1168,872,49,4
93年 4月,6405,4443,3371,5958,2660,5499,557,572,802,1783,598,828,571,1531,172,441,83,582,934,820,37,1
93年 5月,7149,4882,3660,6190,2821,5433,496,811,801,1990,994,1026,545,1363,206,548,69,765,1034,784,48,3
93年 6月,7082,4909,3775,6278,2855,5061,658,751,805,2027,774,892,547,1367,212,480,80,737,1004,611,56,9
93年 7月,7820,5154,3964,6589,2836,5196,648,937,877,2177,862,892,511,1287,196,483,61,735,1116,756,62,2
93年 8月,7878,5117,4081,7244,2993,5585,656,930,877,2057,858,1097,518,1432,278,608,72,765,1025,734,56,6
93年 9月,8794,5068,4651,7339,3297,5747,589,982,853,2256,1012,1218,566,1516,257,582,83,860,1006,790,65,-
93年 10月,8971,5059,4559,7128,3480,6327,662,947,893,2256,879,1101,679,1665,231,663,100,842,1019,774,60,9
93年 11月,9297,5161,4561,7370,3257,6264,639,1060,832,2015,873,1164,613,1450,264,601,85,907,1036,819,44,16
93年 12月,8930,4938,4540,6647,3339,6157,640,944,724,1878,931,1027,584,1379,223,612,86,757,994,808,46,14
94年 1月,8395,4664,4462,6621,3124,5559,642,959,872,2067,870,1079,644,1226,262,696,112,903,1146,756,39,8
94年 2月,6444,3508,3284,5196,2306,4609,484,722,698,1670,691,937,473,1008,188,548,80,589,698,598,32,4
94年 3月,8318,4839,4924,6907,3164,5900,643,954,851,2241,963,1131,687,1278,257,753,110,724,1084,842,42,11
94年 4月,8067,4700,4883,6200,3495,6118,653,1079,821,2129,1033,1153,584,1161,190,672,88,609,933,663,57,7
94年 5月,8767,4850,5011,6640,3137,6557,734,1017,857,2260,904,1190,664,1383,241,672,82,735,880,741,75,6
94年 6月,8694,4759,4645,6706,2821,5980,662,1038,870,2128,842,1061,532,1185,196,586,65,718,926,621,36,8
94年 7月,8597,4894,5246,6870,3033,5901,741,1013,876,2278,906,1188,643,1230,274,658,82,698,951,726,43,7
94年 8月,9336,5604,5795,7167,3658,6785,818,944,1032,2436,972,1246,704,1252,330,618,105,791,1012,727,39,11
94年 9月,8296,4612,5025,6715,2970,6797,728,1074,800,2069,1049,883,535,1184,212,567,52,991,799,640,43,3
94年 10月,8570,4828,4893,7088,3351,6829,723,988,866,1984,960,896,561,1187,216,492,83,800,959,706,44,4
94年 11月,8461,4915,4394,7034,3406,6376,686,831,835,1896,1029,901,540,1349,196,501,81,582,885,714,57,8
94年 12月,7935,4580,3739,6337,3271,6263,596,900,610,1852,920,959,574,1311,277,518,49,572,764,682,51,9
95年 1月,7791,4540,3887,6336,3277,5786,687,901,865,1980,902,964,595,1277,258,643,90,691,809,641,30,7
95年 2月,7456,4434,3827,5886,3136,5624,566,921,782,1691,943,826,562,1392,210,619,82,635,737,621,32,8
95年 3月,7635,4309,4256,6305,3227,6142,675,865,790,1926,797,925,562,1221,149,636,70,457,702,664,52,2
95年 4月,7361,4297,4620,5938,3165,5435,632,940,790,1935,888,828,556,1201,154,562,86,616,833,693,43,8
95年 5月,7759,4412,4298,6150,3398,5364,634,870,792,2006,966,925,599,1049,182,556,98,541,932,705,49,4
95年 6月,7227,4170,4137,5616,3260,4977,542,779,701,1821,898,882,558,1084,191,551,89,560,859,684,50,2
95年 7月,7573,4604,4374,5718,3288,5030,713,986,668,1946,1011,985,560,1192,309,519,62,583,882,711,53,3
95年 8月,7985,4864,4628,6644,3429,6007,754,986,799,2250,1033,1123,620,1332,310,631,99,583,725,730,44,1
95年 9月,7313,4701,4211,5920,2915,5363,584,866,726,1955,914,1185,605,1235,205,628,90,569,744,607,53,2
95年 10月,7806,4714,4049,5736,3016,5368,664,782,738,1684,892,933,700,1145,208,558,68,525,693,668,47,3
95年 11月,9580,4537,3917,5218,3018,5461,614,773,648,1751,767,940,619,1097,242,665,77,542,833,625,45,6
95年 12月,7362,4430,3535,5185,3010,5134,499,762,659,1503,766,1005,616,1171,191,538,50,485,812,653,39,-
96年 1月,7444,4468,3609,5545,3164,5255,530,769,718,1563,889,1032,618,1181,192,635,61,462,795,670,43,4
96年 2月,6469,3508,2971,4922,2671,4635,649,813,769,1621,774,1080,664,1176,340,729,84,691,773,650,38,-
96年 3月,6625,4353,3303,5316,2971,5973,638,935,679,1887,830,1104,729,1327,254,613,66,490,779,734,46,1
96年 4月,6448,4089,3174,5181,2866,5040,573,732,749,1853,850,919,649,1012,128,512,76,578,694,621,45,4
96年 5月,7081,4374,3745,5613,2807,5367,646,1028,797,1890,861,997,636,1066,125,571,104,552,797,604,36,5
96年 6月,6793,4045,3317,5142,2653,4874,556,816,625,1891,741,904,677,1084,100,564,80,515,777,636,41,11
96年 7月,8082,4662,3871,6008,3394,5827,631,999,784,1786,993,923,635,1232,182,644,117,599,928,647,53,1
96年 8月,7826,4614,3537,5944,3132,5689,664,1014,712,1989,990,964,602,1385,154,528,74,536,1011,666,41,3
96年 9月,7767,4470,3306,5796,3069,5733,689,1039,744,1800,945,962,616,1217,205,610,68,611,994,676,42,16
96年 10月,8125,4719,3357,5786,3548,6154,656,1107,800,1985,873,1055,592,1231,173,609,118,715,1025,606,46,-
96年 11月,7076,4211,3111,5211,3279,5663,545,1016,669,1864,876,881,593,1261,178,570,71,624,740,559,35,8
96年 12月,7526,4747,3122,5228,3084,5584,568,1074,682,1916,938,867,538,1261,167,604,70,660,554,608,38,-
97年 1月,7399,4653,3143,5110,2975,5503,536,1076,721,1847,951,1009,640,1294,165,588,76,562,797,674,25,3
97年 2月,5588,3393,2698,4280,2540,4895,624,980,711,1715,641,832,578,1310,230,626,60,645,650,496,17,1
97年 3月,7358,4646,3086,4910,2912,5848,563,950,652,1944,824,917,524,1295,148,587,71,506,685,639,38,15
97年 4月,7052,4400,2985,5040,2900,5237,507,885,696,2059,918,853,597,1282,147,708,77,502,572,481,60,1
97年 5月,7528,4275,3175,4459,2889,5584,587,883,708,1874,891,894,651,1414,140,589,66,471,605,509,32,2
97年 6月,7634,4395,3019,4397,2716,5363,626,848,763,1690,853,878,591,1212,124,557,59,472,610,504,3,1
97年 7月,7967,4454,3618,4347,3034,5630,654,932,776,1847,922,892,650,1470,179,566,70,571,721,527,32,17
97年 8月,7583,4646,3309,4596,3152,6227,644,917,894,1784,839,944,581,1101,167,570,64,604,734,594,103,-
