date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
91年 1月,14,9,14,22,14,21,5,4,2,4,7,9,7,7,5,10,3,3,3,4,－,－
91年 2月,30,12,7,16,22,30,8,3,7,5,1,4,8,11,5,10,－,14,10,4,1,－
91年 3月,33,14,21,28,10,24,9,6,8,11,6,5,11,6,13,10,1,8,2,5,1,－
91年 4月,27,18,12,20,21,43,8,2,7,11,5,11,10,8,10,6,1,2,9,7,－,－
91年 5月,36,18,11,26,12,46,8,13,1,10,12,9,9,4,7,17,－,6,5,6,－,－
91年 6月,47,29,11,26,10,38,4,9,4,8,9,5,7,9,1,8,1,7,5,4,－,－
91年 7月,40,22,29,22,22,29,5,17,6,14,9,8,6,12,3,10,2,6,3,4,2,－
91年 8月,45,25,17,24,13,39,8,8,11,11,11,7,6,13,9,5,4,9,6,6,－,－
91年 9月,48,24,14,22,15,35,9,4,11,7,4,6,9,8,9,7,1,2,3,1,－,－
91年 10月,48,28,24,38,29,34,15,10,8,13,6,12,9,7,6,9,1,11,9,4,－,－
91年 11月,37,17,33,28,10,33,5,6,9,12,9,10,15,13,4,6,1,10,8,6,－,－
91年 12月,34,21,30,21,13,19,9,5,9,11,8,4,12,14,15,11,1,6,5,－,－,－
92年 1月,47,23,28,31,24,42,8,6,7,13,3,9,7,16,9,11,3,3,8,5,－,－
92年 2月,25,18,26,27,20,33,3,10,13,9,5,8,7,17,5,8,1,4,10,14,1,－
92年 3月,39,24,29,26,11,38,7,7,3,19,5,9,3,8,6,10,2,5,6,7,－,－
92年 4月,41,19,32,30,23,28,8,7,6,20,6,8,12,8,6,6,3,9,5,6,1,－
92年 5月,57,29,29,23,9,23,14,10,7,19,11,4,11,7,4,12,1,3,6,5,－,1
92年 6月,38,24,39,21,16,35,13,8,5,26,3,6,13,18,－,11,－,11,5,10,－,－
92年 7月,38,22,20,23,16,32,3,9,9,17,7,7,16,10,3,3,1,3,2,4,2,－
92年 8月,31,23,24,26,24,45,10,9,5,19,11,7,14,12,9,3,－,5,6,6,－,－
92年 9月,31,30,21,28,9,30,10,7,4,13,5,8,4,16,6,7,1,6,13,6,－,－
92年 10月,33,17,13,51,11,17,6,4,12,15,3,8,6,9,2,7,2,6,7,3,－,－
92年 11月,23,17,10,22,16,23,2,6,8,7,－,8,6,9,4,5,2,3,2,6,－,－
92年 12月,26,15,10,13,17,29,7,12,2,11,6,4,3,11,5,7,－,7,5,2,－,－
93年 1月,37,14,14,20,14,17,7,7,7,7,8,5,4,6,6,8,1,7,6,8,1,－
93年 2月,29,16,13,25,17,16,7,3,11,17,2,9,8,9,5,5,2,6,2,1,1,－
93年 3月,29,21,12,28,16,22,6,7,2,11,2,3,10,12,4,4,－,7,4,3,－,－
93年 4月,24,14,12,20,11,29,5,10,5,13,4,3,3,8,8,9,2,5,2,4,1,－
93年 5月,42,18,11,20,13,34,4,5,11,9,9,2,6,12,4,10,－,7,5,4,－,－
93年 6月,30,23,13,29,15,31,7,7,4,14,8,4,11,11,5,6,1,9,2,4,－,－
93年 7月,39,22,18,18,21,28,5,4,10,12,6,6,6,12,－,11,－,6,6,4,1,－
93年 8月,34,21,18,24,11,27,12,8,10,11,5,1,6,9,3,1,2,4,7,4,－,－
93年 9月,40,14,24,26,14,32,6,7,8,20,5,6,7,13,6,8,5,5,4,5,－,－
93年 10月,34,20,15,35,18,34,5,8,19,7,4,5,5,8,5,17,3,2,12,2,－,－
93年 11月,35,27,29,31,15,30,5,7,9,11,10,5,9,11,5,8,－,8,7,3,－,－
93年 12月,36,24,25,31,25,39,12,17,14,12,6,10,10,10,16,9,1,3,8,6,2,－
94年 1月,34,22,13,22,10,29,2,5,6,15,5,2,9,10,10,10,2,4,3,4,－,－
94年 2月,28,22,10,23,11,18,2,4,14,16,3,3,3,6,5,11,1,2,2,6,－,－
94年 3月,41,21,14,34,16,30,6,3,8,17,2,9,6,11,1,11,－,4,6,5,－,－
94年 4月,37,24,18,31,24,34,4,5,20,9,8,11,3,11,5,12,3,8,4,6,1,－
94年 5月,43,27,29,42,26,66,6,7,23,17,4,15,10,6,10,6,－,8,6,3,2,－
94年 6月,57,28,16,40,42,25,6,4,5,7,2,6,6,9,1,13,2,8,9,4,－,－
94年 7月,43,37,20,23,16,29,4,2,12,22,8,9,6,3,10,5,2,5,4,2,－,－
94年 8月,64,39,29,31,30,40,4,2,10,22,5,6,7,22,9,7,－,4,4,7,1,－
94年 9月,48,33,9,23,16,32,6,6,5,17,7,6,3,10,4,13,1,10,7,6,－,－
94年 10月,40,29,12,24,28,35,6,5,6,28,7,16,4,5,3,9,3,5,4,5,－,－
94年 11月,41,31,16,30,30,34,3,3,10,14,8,7,3,10,3,13,－,4,4,6,－,－
94年 12月,28,23,17,28,9,34,3,2,3,20,1,6,10,10,3,8,2,－,6,7,－,－
95年 1月,45,22,12,26,17,24,7,2,4,11,5,5,7,14,5,4,1,3,8,5,3,－
95年 2月,41,23,23,17,14,31,6,1,6,14,4,13,9,8,7,8,1,6,3,1,－,－
95年 3月,41,16,23,21,11,32,8,4,8,8,7,2,7,14,2,5,3,7,3,6,－,－
95年 4月,49,18,23,29,19,33,7,3,8,13,2,10,11,12,5,8,1,5,5,4,－,－
95年 5月,64,19,20,25,23,37,15,4,8,18,5,7,7,13,9,7,4,6,7,7,－,－
95年 6月,47,34,24,46,14,40,9,9,5,8,5,6,4,17,7,13,1,3,4,4,－,－
95年 7月,49,25,23,29,16,29,11,8,10,10,7,5,4,12,7,4,－,4,4,2,1,－
95年 8月,36,24,35,33,25,35,2,6,8,8,6,9,3,12,2,10,1,4,9,2,－,－
95年 9月,47,29,20,30,16,34,8,7,6,22,6,9,1,17,7,12,2,4,2,4,1,－
95年 10月,49,26,37,26,14,42,7,5,4,16,3,5,6,19,3,5,－,4,10,5,2,－
95年 11月,58,22,24,27,20,39,16,9,4,22,5,8,6,12,4,12,－,4,10,5,－,－
95年 12月,48,32,26,29,18,26,5,6,3,14,4,3,4,15,4,5,2,6,4,3,－,－
96年 1月,56,14,30,22,18,42,7,4,7,9,9,10,7,10,1,11,1,5,3,1,－,－
96年 2月,50,22,33,23,25,63,6,13,12,9,9,4,3,15,12,4,1,1,7,9,1,－
96年 3月,57,32,27,37,12,41,7,3,5,19,5,5,7,15,5,16,－,3,7,4,－,－
96年 4月,44,22,23,28,17,29,12,9,8,12,3,4,6,11,4,9,2,5,5,2,－,－
96年 5月,69,35,29,35,17,47,8,11,6,16,9,4,5,19,1,9,3,5,8,4,－,－
96年 6月,58,29,25,37,18,27,6,14,3,15,4,6,6,11,5,8,2,6,6,7,－,－
96年 7月,88,26,38,31,27,34,5,10,5,13,4,11,5,23,5,7,－,8,7,8,－,－
96年 8月,52,16,26,33,21,35,10,8,7,17,13,10,6,11,4,5,2,3,3,5,－,－
96年 9月,51,27,34,29,18,25,10,13,6,11,7,8,5,6,8,13,3,4,11,5,－,－
96年 10月,57,28,31,36,19,48,10,5,7,25,6,5,9,14,6,9,1,5,4,3,3,－
96年 11月,56,21,31,22,20,39,10,3,4,8,5,11,6,17,6,7,2,2,6,5,1,－
96年 12月,65,19,11,22,13,36,9,5,7,20,6,7,3,13,10,7,2,4,8,4,1,－
97年 1月,51,29,32,33,17,29,10,6,7,10,3,5,5,20,8,10,1,1,8,1,－,－
97年 2月,40,15,26,26,11,31,7,5,4,14,4,8,6,16,9,10,1,4,8,4,－,－
97年 3月,42,22,33,35,16,45,5,3,4,17,8,5,5,15,10,9,－,3,5,5,2,－
97年 4月,48,17,27,39,19,33,12,5,11,15,6,6,5,19,7,11,－,4,9,3,－,－
97年 5月,75,25,33,39,12,43,13,14,14,12,8,6,10,26,8,9,－,2,8,5,－,－
97年 6月,56,27,24,31,12,50,7,8,11,18,2,14,8,13,6,7,－,4,4,1,－,－
97年 7月,52,34,39,39,12,39,10,6,5,11,8,13,4,18,9,10,1,8,6,－,1,－
97年 8月,48,26,21,15,24,46,7,1,9,11,3,11,4,13,4,5,－,7,7,4,5,－
97年 9月,50,30,22,29,19,46,10,12,11,15,2,5,7,15,7,10,1,4,8,4,－,1
97年 10月,55,26,23,43,14,34,7,11,8,6,7,7,3,11,3,10,－,3,12,4,－,－
97年 11月,50,19,31,24,12,26,9,9,5,9,2,8,5,10,3,3,－,5,6,4,1,－
97年 12月,49,22,23,26,8,29,5,4,2,7,5,6,4,6,1,11,－,6,4,1,1,－
98年 1月,48,14,17,23,24,23,5,2,10,6,9,4,5,12,3,12,－,4,6,1,－,－
98年 2月,50,15,16,21,13,30,3,12,5,10,4,7,6,19,4,15,2,10,5,5,－,－
98年 3月,60,22,37,29,18,43,5,9,11,6,9,5,5,11,8,11,－,5,7,7,1,－
98年 4月,54,16,26,29,17,29,10,6,7,11,4,8,5,19,7,11,1,3,2,3,－,1
98年 5月,51,22,33,28,10,47,6,15,7,11,6,8,9,18,12,7,－,4,7,2,1,－
98年 6月,51,41,34,22,20,42,8,20,4,14,6,8,13,9,6,15,－,4,4,6,－,－
98年 7月,46,27,34,18,13,39,12,6,5,16,6,6,9,14,6,11,－,5,2,5,3,－
98年 8月,60,30,24,29,14,41,8,13,3,12,7,10,5,21,8,10,2,8,1,7,5,－
98年 9月,58,28,34,31,18,58,8,9,5,11,6,10,4,14,11,17,1,5,3,6,1,－
98年 10月,49,19,35,41,15,47,3,10,－,7,7,11,7,12,7,18,1,7,4,3,1,－
98年 11月,43,42,25,35,21,36,2,5,8,7,7,10,4,11,4,19,3,9,1,3,－,－
98年 12月,47,29,12,23,21,37,5,9,10,12,3,2,2,16,7,7,1,4,4,1,2,－
99年 1月,39,23,33,27,16,36,12,4,3,15,9,6,2,17,1,10,－,－,10,－,－,－
99年 2月,35,23,15,18,24,33,5,11,2,18,8,12,7,9,6,10,－,8,3,2,－,－
99年 3月,61,24,18,39,11,43,6,13,5,18,1,6,6,20,7,15,－,7,2,6,－,－
99年 4月,44,25,27,30,9,40,4,7,7,15,2,5,1,12,4,9,－,4,5,6,－,1
99年 5月,62,34,36,37,17,42,5,9,3,22,7,19,4,22,5,8,3,5,6,6,－,1
99年 6月,48,33,29,50,17,33,9,9,9,11,3,7,16,29,6,8,1,8,4,5,－,－
99年 7月,52,24,29,35,16,49,5,7,6,15,7,12,9,11,5,9,－,7,8,3,－,－
99年 8月,57,24,30,31,23,46,6,10,10,13,6,8,9,24,5,9,－,5,12,6,1,－
99年 9月,72,32,24,36,23,33,8,8,5,20,10,5,3,19,5,15,2,5,3,3,－,1
99年 10月,49,27,20,33,18,35,5,9,13,8,7,3,8,13,6,6,1,11,14,3,－,－
99年 11月,57,30,27,27,16,45,10,7,5,8,8,13,3,11,7,15,－,12,5,5,1,－
99年 12月,42,21,18,38,17,37,10,3,6,22,10,9,7,21,7,15,2,4,4,1,1,1
100年 1月,45,26,26,29,12,51,3,9,5,19,6,6,9,16,6,14,－,5,4,7,－,－
100年 2月,31,23,18,26,7,24,1,5,5,10,4,5,3,15,2,11,1,1,4,2,－,－
100年 3月,48,36,25,57,21,50,11,6,15,18,6,5,9,7,10,18,－,6,4,7,1,－
100年 4月,52,28,25,36,21,38,3,7,11,18,7,12,11,23,8,13,2,8,11,4,2,－
100年 5月,81,36,30,65,26,56,8,14,6,20,11,9,7,35,3,17,－,6,10,6,5,－
100年 6月,68,29,22,55,22,47,3,9,6,23,2,6,9,8,8,9,1,3,7,10,－,－
100年 7月,59,34,16,57,22,58,6,8,9,15,7,11,8,9,12,12,3,7,13,4,－,1
100年 8月,62,34,26,49,17,53,9,7,3,23,2,7,6,11,7,11,2,5,14,6,1,－
100年 9月,56,35,27,44,13,39,9,5,10,14,10,6,7,11,12,4,1,5,9,2,－,－
100年 10月,52,28,20,47,24,41,10,13,10,24,11,8,6,21,8,18,－,6,4,3,1,－
100年 11月,46,27,19,57,30,44,7,11,8,18,14,11,4,15,3,7,－,8,4,3,1,－
100年 12月,42,20,18,47,38,35,11,7,8,14,8,6,4,13,15,9,1,7,7,3,－,－
101年 1月,33,15,21,40,25,22,6,9,11,17,8,3,4,13,5,17,－,9,7,4,－,－
101年 2月,62,26,21,45,27,47,9,8,11,21,9,9,4,16,3,18,－,14,4,7,－,－
101年 3月,56,31,33,59,22,37,9,7,12,13,10,13,9,23,10,11,1,18,9,1,1,－
101年 4月,64,24,26,52,18,41,15,7,12,21,13,5,8,20,22,16,－,9,6,5,－,－
101年 5月,67,34,13,58,24,43,10,9,5,21,6,10,8,6,15,18,－,19,14,9,－,－
101年 6月,44,42,14,43,21,29,10,7,12,23,9,6,6,10,14,8,－,17,6,4,－,－
101年 7月,50,28,27,52,30,33,9,7,10,18,13,12,7,16,13,14,1,11,8,1,1,－
101年 8月,55,26,22,54,28,30,14,5,8,15,10,10,9,9,5,12,3,9,4,5,－,－
101年 9月,65,29,19,45,37,36,10,12,14,27,7,16,5,20,3,8,2,7,10,3,1,－
101年 10月,59,38,19,54,19,35,7,10,9,19,12,11,5,22,14,13,6,13,6,6,4,－
101年 11月,61,26,13,49,25,35,8,9,15,18,9,9,7,9,11,10,1,15,10,5,2,－
101年 12月,51,25,16,37,32,28,10,6,10,22,9,7,4,15,9,13,－,18,9,4,1,－
102年 1月,51,18,12,48,17,21,13,7,9,22,8,8,7,14,7,15,－,12,3,4,－,－
102年 2月,47,21,15,31,21,19,8,3,10,9,7,4,7,12,5,10,－,12,6,3,－,－
102年 3月,44,21,11,53,16,31,7,9,10,17,15,10,14,16,11,12,－,10,12,6,－,－
102年 4月,43,35,24,50,25,27,11,7,9,13,8,6,3,14,6,12,－,12,12,5,1,－
102年 5月,49,33,17,54,19,30,10,16,11,19,8,7,4,21,11,15,2,18,10,3,2,－
102年 6月,49,33,11,54,21,22,7,13,6,21,10,7,9,11,5,9,－,10,10,5,1,1
102年 7月,58,17,19,44,37,35,14,11,13,26,14,8,3,11,7,15,1,11,10,2,2,－
102年 8月,33,31,9,29,28,26,15,12,10,16,5,7,10,13,4,17,2,4,12,2,－,－
102年 9月,42,24,3,35,26,24,16,14,14,20,10,11,4,15,5,9,－,7,8,3,1,－
102年 10月,48,41,10,33,21,22,9,11,11,19,8,6,9,16,8,17,5,7,15,3,1,－
102年 11月,53,23,15,32,23,21,8,15,6,16,10,6,1,14,17,15,－,11,3,6,3,－
102年 12月,44,28,10,51,19,22,10,5,8,23,11,7,8,13,13,14,－,22,7,4,－,1
103年 1月,53,32,15,38,26,25,7,8,4,16,3,9,7,5,15,10,－,9,7,1,2,－
103年 2月,34,25,8,24,17,18,11,10,5,17,6,6,3,8,7,5,1,7,8,1,－,－
103年 3月,59,36,8,56,20,25,7,5,16,22,11,6,6,14,8,16,－,6,7,5,－,－
103年 4月,44,35,7,35,25,35,12,7,14,20,9,13,5,13,10,13,1,14,7,4,1,－
103年 5月,63,16,12,44,24,21,10,10,17,27,5,12,7,19,9,18,－,7,11,7,1,－
103年 6月,50,28,20,48,26,19,17,11,13,16,14,6,6,12,8,15,1,9,9,3,2,－
103年 7月,45,34,14,38,23,32,13,15,18,19,12,16,6,11,8,10,1,2,3,4,1,1
103年 8月,40,38,11,27,27,30,10,10,8,14,11,10,7,21,5,10,2,10,8,4,－,－
103年 9月,30,35,10,39,26,35,8,9,10,13,8,10,7,22,13,8,－,12,9,3,－,－
103年 10月,57,30,17,35,29,23,7,11,6,18,9,12,10,15,13,8,－,13,13,3,1,1
103年 11月,64,31,8,36,24,21,12,10,18,15,9,9,6,10,8,12,1,9,12,8,1,－
103年 12月,47,36,8,45,30,27,11,5,6,16,10,10,6,21,7,17,－,13,6,5,－,－
104年 1月,42,26,11,32,20,26,6,15,15,12,13,4,9,24,4,14,1,6,10,3,1,－
104年 2月,34,14,14,30,14,18,6,5,5,11,6,7,3,5,4,6,2,3,3,5,1,－
104年 3月,58,32,10,33,25,13,4,2,11,25,6,11,4,12,2,15,3,6,8,3,－,－
104年 4月,40,29,8,40,24,30,8,11,7,22,4,6,5,20,8,17,2,8,12,2,1,－
104年 5月,61,36,9,42,21,19,10,15,11,21,12,8,7,12,9,16,1,14,17,7,1,－
104年 6月,46,38,8,52,17,26,7,9,15,15,10,12,8,10,8,8,2,8,11,7,－,1
104年 7月,41,29,7,46,23,26,9,9,12,21,10,10,12,19,5,11,－,14,10,7,1,－
104年 8月,58,31,12,34,26,23,8,6,12,15,8,7,7,6,7,9,－,10,13,6,－,－
104年 9月,44,31,10,54,18,38,5,15,9,19,9,4,4,13,7,11,2,6,15,7,2,－
104年 10月,62,34,16,40,19,35,12,10,13,13,10,6,4,17,8,11,－,11,8,3,1,－
104年 11月,53,24,17,45,15,30,8,5,9,19,11,9,8,12,8,13,－,13,14,3,1,－
104年 12月,49,25,5,51,23,31,5,9,9,14,7,6,10,7,3,15,1,7,19,3,－,－
105年 1月,49,28,10,45,17,27,8,7,13,15,8,6,3,16,8,9,－,10,6,2,1,－
105年 2月,29,21,7,32,12,17,－,11,6,15,5,3,4,6,7,11,－,7,8,2,－,－
105年 3月,54,25,13,47,19,28,11,12,6,23,6,8,7,19,10,14,1,13,11,3,－,－
105年 4月,47,24,7,44,18,24,4,16,7,21,8,8,2,18,12,7,－,9,11,4,3,－
105年 5月,69,35,19,63,21,38,11,7,16,24,8,10,7,12,2,17,－,5,12,7,1,－
105年 6月,44,21,14,43,28,27,7,16,13,27,5,4,6,19,12,13,1,6,8,4,1,－
105年 7月,38,30,14,67,20,29,12,6,10,18,6,11,9,19,4,9,－,6,9,6,1,－
