date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
91年 1月,107,79,101,141,55,281,19,11,13,48,32,22,8,51,3,15,6,19,24,5,1,－
91年 2月,195,87,124,170,94,269,16,18,46,84,19,23,17,69,10,16,2,53,66,10,1,－
91年 3月,154,95,75,131,70,229,22,9,16,46,21,40,25,52,17,14,2,24,12,20,4,－
91年 4月,138,100,69,108,90,277,10,10,15,44,29,28,15,65,11,6,4,16,27,16,－,－
91年 5月,188,72,95,145,64,294,18,22,12,44,31,20,12,44,11,22,2,18,29,21,1,－
91年 6月,210,106,119,165,93,265,14,13,17,37,31,21,13,41,7,9,2,23,15,19,1,－
91年 7月,184,88,168,160,85,229,19,25,19,74,40,29,13,38,4,11,4,14,23,25,2,－
91年 8月,251,122,110,212,80,309,27,14,20,74,35,53,22,37,11,18,5,46,31,18,1,－
91年 9月,210,93,80,154,92,306,30,11,17,57,24,28,15,74,15,16,2,30,46,9,－,－
91年 10月,208,107,121,212,96,280,32,26,19,106,28,42,16,52,9,24,1,32,34,17,1,－
91年 11月,211,100,96,155,93,259,19,10,19,52,23,21,18,61,7,10,4,23,20,7,－,－
91年 12月,202,107,127,135,63,251,31,8,21,53,18,4,15,43,13,15,1,25,18,13,－,－
92年 1月,217,96,114,165,107,250,18,19,21,66,21,30,16,67,18,15,6,33,24,17,－,－
92年 2月,137,74,87,112,56,132,11,16,28,35,23,27,15,38,14,14,1,31,18,16,1,－
92年 3月,156,93,88,164,82,225,22,11,13,60,24,27,6,32,6,15,2,25,36,13,1,－
92年 4月,205,79,126,149,93,264,10,13,21,74,29,38,14,32,10,11,3,28,19,18,1,－
92年 5月,209,99,107,178,69,234,31,20,20,83,31,31,16,39,7,14,1,30,16,7,3,1
92年 6月,239,95,162,173,98,311,25,16,18,92,16,29,16,65,6,12,1,28,10,22,－,1
92年 7月,195,96,108,163,77,230,12,18,18,66,16,23,15,43,6,6,2,19,13,18,1,－
92年 8月,137,78,112,122,102,232,18,11,11,54,26,20,11,53,7,6,1,31,14,15,－,－
92年 9月,119,101,118,97,64,180,17,20,14,69,22,22,11,59,4,11,5,24,20,14,－,－
92年 10月,143,87,91,116,81,153,25,7,26,41,18,21,8,46,5,9,4,17,17,12,－,－
92年 11月,116,96,54,114,48,156,15,8,16,21,10,11,12,44,9,7,3,15,4,14,1,1
92年 12月,113,104,59,97,59,149,8,16,7,44,21,18,11,47,5,10,2,17,12,10,－,－
93年 1月,144,84,61,95,46,149,10,11,11,33,21,24,7,52,7,13,1,24,20,12,－,－
93年 2月,141,69,50,118,78,165,15,10,19,32,12,20,7,41,7,11,4,21,8,9,－,－
93年 3月,125,114,59,111,61,161,9,7,6,26,14,15,11,40,3,10,2,13,9,9,－,－
93年 4月,130,108,51,98,57,164,12,12,6,54,9,4,6,39,6,10,3,8,12,17,－,－
93年 5月,162,109,58,144,68,137,7,7,17,38,45,13,4,44,3,10,－,18,16,11,－,－
93年 6月,145,106,63,116,51,166,13,10,10,39,30,21,11,43,5,11,2,22,10,12,－,－
93年 7月,170,126,65,120,79,139,6,6,17,39,30,11,9,38,6,14,1,17,11,6,－,－
93年 8月,214,88,101,220,99,175,16,14,16,43,22,14,12,67,5,14,2,20,14,13,－,－
93年 9月,264,87,150,323,107,190,11,25,15,46,22,21,9,52,9,9,5,16,18,21,－,－
93年 10月,214,78,147,335,110,259,14,27,26,47,20,23,14,61,8,17,4,22,23,16,－,－
93年 11月,250,83,195,230,87,222,9,26,12,47,23,39,8,62,3,7,2,19,18,12,1,－
93年 12月,240,96,100,246,108,228,14,20,19,49,21,19,21,42,20,10,3,11,22,19,－,1
94年 1月,221,100,80,201,100,193,11,11,11,44,17,11,10,28,10,24,3,11,11,14,－,－
94年 2月,193,64,58,165,65,139,5,13,15,47,7,16,9,43,5,11,1,19,7,11,－,－
94年 3月,258,68,108,206,71,170,4,9,10,66,21,18,10,43,1,15,－,9,14,19,2,－
94年 4月,189,67,119,200,96,206,12,13,29,43,29,31,5,39,7,10,4,14,15,12,1,－
94年 5月,209,59,128,241,66,273,22,20,42,47,11,27,19,38,10,15,1,11,16,20,2,－
94年 6月,236,54,124,230,83,187,10,25,12,50,15,14,7,42,1,12,1,24,23,11,－,－
94年 7月,198,64,147,226,72,160,10,18,27,57,28,22,7,31,7,8,2,14,19,10,－,－
94年 8月,194,75,136,236,132,221,10,7,32,48,11,25,11,61,19,13,1,17,16,14,－,－
94年 9月,177,69,147,250,83,276,16,17,13,61,19,26,13,56,18,15,1,26,33,10,1,－
94年 10月,182,54,130,243,84,240,14,17,14,65,25,25,14,62,9,13,3,17,13,17,－,－
94年 11月,222,70,140,253,107,221,3,28,14,54,21,15,6,82,10,7,1,18,24,13,－,－
94年 12月,223,77,168,242,77,212,8,17,9,74,9,27,17,55,6,13,－,17,16,23,－,－
95年 1月,172,64,152,184,71,205,12,10,9,46,23,23,19,48,8,11,－,11,21,14,2,－
95年 2月,167,95,168,181,77,255,6,13,8,39,22,18,13,47,13,11,2,14,15,11,－,－
95年 3月,197,88,181,200,85,276,14,17,16,53,20,19,18,64,4,10,3,19,16,36,－,－
95年 4月,156,82,89,212,58,198,11,12,17,33,8,17,7,68,8,7,1,5,11,26,－,－
95年 5月,168,55,94,205,75,201,20,26,17,28,19,22,14,46,7,14,1,15,19,22,－,－
95年 6月,167,56,102,183,94,164,11,21,11,47,16,16,9,41,4,15,1,7,23,24,－,－
95年 7月,132,55,111,148,73,154,11,19,18,32,20,12,6,47,7,6,－,8,12,17,1,－
95年 8月,123,66,122,149,63,160,8,13,12,53,13,13,12,44,2,13,1,10,13,8,－,－
95年 9月,145,94,106,156,64,168,19,16,11,45,12,14,3,39,10,25,1,13,12,5,1,－
95年 10月,138,78,107,137,74,179,22,13,10,35,13,11,7,48,8,6,3,13,15,9,2,－
95年 11月,158,53,88,125,65,190,11,11,8,42,16,13,6,39,5,13,1,13,14,13,－,－
95年 12月,175,71,85,123,60,162,8,21,11,29,11,16,13,43,7,13,2,23,30,7,－,－
96年 1月,177,66,79,118,57,188,9,10,12,19,12,22,6,42,1,15,－,6,11,10,－,－
96年 2月,159,52,95,118,62,131,11,23,16,23,18,18,7,34,13,9,1,8,10,9,1,－
96年 3月,166,68,93,102,58,157,12,7,10,34,11,18,7,35,3,14,2,9,11,7,－,－
96年 4月,143,41,56,110,72,120,10,7,8,29,13,11,4,35,1,11,1,15,10,3,－,－
96年 5月,158,56,64,104,50,128,6,15,11,22,15,18,4,34,5,8,2,13,11,7,－,－
96年 6月,131,53,66,110,64,135,10,19,11,11,4,14,6,34,3,3,2,14,9,19,－,－
96年 7月,172,72,73,131,79,156,6,16,7,32,10,22,17,39,－,7,－,13,14,10,－,－
96年 8月,160,44,55,149,61,108,12,17,12,37,17,17,12,32,3,9,1,5,15,5,－,－
96年 9月,141,56,75,100,80,148,16,23,9,24,19,18,9,44,5,12,1,12,13,9,－,－
96年 10月,170,59,61,94,55,178,16,10,15,52,9,15,12,45,4,7,3,17,15,1,3,－
96年 11月,135,50,73,80,82,141,14,20,12,33,18,13,11,41,1,10,2,8,11,5,1,－
96年 12月,184,64,51,92,58,167,11,16,10,29,13,14,10,37,5,7,－,12,9,13,1,－
97年 1月,143,57,71,62,55,155,6,13,14,22,15,12,14,42,2,10,2,9,14,4,－,－
97年 2月,127,46,46,68,50,140,8,15,11,18,5,7,11,24,6,12,1,9,12,5,－,－
97年 3月,140,58,65,68,68,147,7,23,13,26,21,15,6,29,10,9,－,6,9,6,2,－
97年 4月,134,45,68,108,58,108,11,17,14,26,11,13,11,31,6,8,－,12,12,6,－,－
97年 5月,182,47,63,99,44,117,10,20,19,24,17,16,12,44,7,6,－,9,11,6,－,－
97年 6月,144,51,49,78,50,102,6,13,15,23,14,12,8,23,4,6,1,14,12,2,－,－
97年 7月,134,75,57,100,28,135,13,14,9,29,21,13,6,32,5,5,1,10,9,1,1,－
97年 8月,126,69,55,68,48,159,10,10,10,26,10,13,8,26,4,5,1,13,10,5,7,－
97年 9月,113,54,46,88,56,164,5,10,15,29,7,10,5,32,6,5,1,6,6,14,1,1
97年 10月,115,49,60,84,48,199,5,11,11,22,11,16,12,29,8,16,1,10,13,6,－,－
97年 11月,108,51,53,73,55,119,3,18,7,20,8,16,6,21,5,5,－,6,12,6,1,－
97年 12月,98,49,47,86,42,125,7,7,6,18,7,17,8,18,3,8,1,8,5,4,1,－
98年 1月,95,29,48,72,49,134,10,12,9,26,9,10,6,21,2,6,－,6,7,4,－,－
98年 2月,112,35,55,62,56,121,6,15,8,19,12,13,9,37,3,10,4,6,11,8,1,－
98年 3月,106,47,67,50,61,161,6,20,11,16,17,9,8,31,4,11,1,6,8,6,1,－
98年 4月,99,38,53,48,38,137,7,9,8,16,7,9,4,34,8,9,－,8,6,4,1,1
98年 5月,96,57,55,48,44,156,6,12,5,15,10,8,13,36,6,4,1,4,12,6,1,－
98年 6月,105,74,60,48,43,135,6,10,3,30,5,10,16,27,6,8,2,5,8,11,－,－
98年 7月,132,55,61,49,37,111,6,7,3,16,7,10,10,30,2,6,1,3,5,5,4,－
98年 8月,121,47,45,73,46,118,10,12,3,11,8,11,7,28,3,4,3,10,2,10,5,－
98年 9月,108,46,52,43,37,135,6,15,3,18,6,15,6,27,6,11,－,10,6,6,1,－
98年 10月,86,55,62,48,46,143,4,16,2,10,11,10,10,27,3,9,－,9,4,2,1,－
98年 11月,91,65,41,64,35,101,2,10,6,13,8,11,5,25,－,7,－,6,3,5,1,－
98年 12月,88,46,29,39,39,92,8,11,7,18,6,3,6,26,3,5,－,2,4,－,2,－
99年 1月,69,36,51,35,26,79,6,9,7,13,9,6,1,26,6,6,－,2,12,2,－,－
99年 2月,86,46,36,32,37,92,5,10,4,25,8,18,12,22,3,3,－,13,1,2,－,－
99年 3月,86,37,37,47,33,118,8,18,4,19,4,9,5,31,3,9,－,9,7,5,－,－
99年 4月,62,44,39,52,26,82,1,15,1,16,4,7,3,19,2,9,－,5,2,4,1,－
99年 5月,72,49,42,49,37,99,4,14,4,20,7,17,6,22,5,10,－,6,4,6,－,－
99年 6月,73,49,38,53,39,83,3,9,11,9,2,9,14,28,2,6,－,6,－,10,－,－
99年 7月,87,40,44,30,50,116,9,13,2,16,8,10,11,16,2,6,－,9,6,4,－,－
99年 8月,105,47,62,29,50,116,4,22,3,18,8,10,12,29,7,8,1,8,14,8,2,－
99年 9月,102,52,41,18,55,89,5,10,5,18,8,4,5,30,2,6,－,5,2,3,2,－
99年 10月,79,43,25,26,41,92,2,12,4,10,8,3,6,18,3,5,－,14,11,2,－,－
99年 11月,71,47,42,34,36,74,8,9,2,8,11,5,4,17,4,5,－,3,4,3,1,－
99年 12月,76,36,27,26,35,59,6,2,3,13,9,2,4,18,4,12,1,4,6,1,1,1
100年 1月,66,45,32,24,32,115,3,10,5,10,11,4,11,19,2,7,－,5,3,3,－,－
100年 2月,58,27,14,14,22,73,4,7,3,11,3,8,5,18,2,6,1,4,5,2,－,－
100年 3月,76,30,29,26,38,103,5,5,6,8,5,5,8,13,3,13,－,7,1,4,2,－
100年 4月,54,38,42,19,33,93,2,11,10,12,5,5,9,20,2,4,－,6,2,3,2,－
100年 5月,82,36,39,41,31,78,5,14,6,21,10,5,7,31,6,1,1,10,8,4,3,－
100年 6月,81,39,34,31,31,50,3,4,3,8,4,3,6,13,8,7,－,2,2,3,－,－
100年 7月,81,39,20,30,32,56,5,8,8,12,6,4,5,12,5,3,1,8,13,2,－,－
100年 8月,86,41,25,26,31,58,4,9,5,18,3,5,7,24,3,3,4,6,12,5,1,－
100年 9月,52,42,23,41,29,63,3,9,2,1,9,6,9,11,1,2,1,7,6,1,1,－
100年 10月,79,36,26,38,29,75,3,13,5,4,12,8,3,17,1,1,1,11,4,4,－,－
100年 11月,62,39,16,27,26,29,2,5,4,11,4,6,4,13,2,4,－,7,1,4,－,－
100年 12月,64,22,13,25,34,39,－,5,5,6,9,6,4,14,3,2,－,9,－,1,1,－
101年 1月,62,17,20,19,24,37,2,8,5,12,12,3,4,12,2,4,1,8,1,2,1,－
101年 2月,82,33,13,30,21,41,6,7,2,12,9,6,3,16,－,4,－,11,2,6,－,－
101年 3月,75,36,17,30,30,35,6,7,4,5,13,7,8,15,1,5,1,9,3,1,2,－
