date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
91年 1月,5022,2490,3076,5079,2246,4737,293,462,551,1086,549,545,295,1110,107,291,21,446,954,601,11,10
91年 2月,4403,2076,2764,3693,1890,3972,310,410,599,1055,502,551,280,852,141,314,38,591,806,463,7,1
91年 3月,5502,2465,3275,4664,2145,5005,329,467,568,1031,527,633,394,1120,112,321,21,497,917,545,14,3
91年 4月,5328,2584,3073,4713,2139,5184,384,432,610,1131,535,737,394,1078,127,291,23,506,918,629,10,1
91年 5月,5184,2572,2787,4880,2135,4621,396,518,537,1195,575,664,348,1117,131,304,34,476,864,638,9,3
91年 6月,4768,2430,2365,4191,1982,4183,385,392,525,1183,483,528,300,812,111,276,21,440,730,602,13,6
91年 7月,4893,2571,2803,4429,1778,3756,313,557,582,1191,468,615,236,733,127,297,17,432,752,713,15,8
91年 8月,5074,2596,2757,4918,1840,4050,397,390,576,1109,463,678,282,813,148,353,25,560,752,569,13,9
91年 9月,4951,2468,2607,4133,1850,4379,410,415,521,1103,471,485,335,909,172,253,28,287,815,548,11,2
91年 10月,5357,2747,2851,4474,2151,4609,377,536,629,980,517,756,314,947,202,329,18,397,809,672,18,－
91年 11月,5026,2682,2700,4394,1853,3757,345,415,581,919,450,605,341,804,152,295,33,345,698,491,12,12
91年 12月,4990,2643,2523,4317,1639,3833,357,412,510,1051,455,594,278,858,207,254,34,347,734,500,19,3
92年 1月,5073,2634,2572,3939,1798,3868,400,446,550,1068,496,594,297,928,236,239,22,431,885,581,19,3
92年 2月,4116,2072,2006,3414,1695,3269,224,376,541,888,454,549,271,803,136,234,21,390,633,505,13,2
92年 3月,4599,2619,2618,4301,1877,3879,359,353,505,1012,409,620,315,942,99,282,29,413,963,490,19,2
92年 4月,4706,2688,2573,4359,1975,4091,296,354,572,1029,453,636,391,941,133,288,32,454,837,547,16,1
92年 5月,5008,2470,2677,4680,1797,4329,301,554,604,1130,534,639,398,1015,147,255,17,458,899,492,19,1
92年 6月,5552,2602,2942,4430,2000,4529,448,343,626,1203,459,654,318,1102,146,263,34,332,885,474,10,3
92年 7月,5851,2823,3219,4637,2127,4369,363,490,626,1175,510,730,369,898,141,349,16,573,766,622,11,3
92年 8月,5364,2786,3167,4711,1760,4166,357,459,586,1171,496,706,329,851,126,314,25,472,817,506,8,1
92年 9月,5116,2717,2883,4336,1806,4302,356,445,532,1144,443,607,319,854,131,293,21,480,817,527,23,3
