date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
91年 1月,60,433,198,247,99,217,20,39,38,35,36,31,56,60,20,12,3,32,27,38,6,－
91年 2月,44,369,137,234,103,267,33,33,62,49,37,32,94,107,12,25,6,33,46,29,1,－
91年 3月,55,688,183,277,109,228,34,15,39,30,32,34,101,63,9,24,2,31,42,28,14,－
91年 4月,39,707,109,274,111,216,27,15,27,51,37,27,77,42,8,16,7,37,19,37,6,1
91年 5月,65,745,120,273,105,196,23,26,35,41,30,28,79,59,8,15,9,32,31,27,7,－
91年 6月,55,649,133,222,60,218,23,26,45,46,34,38,67,51,13,20,6,28,27,28,3,－
91年 7月,83,742,146,249,86,230,21,73,40,54,43,27,75,59,21,9,8,39,38,74,3,1
91年 8月,89,673,169,267,87,254,21,40,24,46,38,32,112,46,20,11,3,36,56,47,3,－
91年 9月,82,415,135,254,91,240,21,34,44,76,55,30,104,47,23,17,4,36,38,52,9,2
91年 10月,101,526,133,254,119,219,16,36,53,39,46,38,66,59,23,15,9,27,25,42,2,－
91年 11月,109,360,133,283,99,226,21,47,37,61,44,29,71,51,25,11,1,30,29,39,1,－
91年 12月,63,326,110,226,101,199,15,39,35,41,51,27,47,55,23,14,6,33,24,46,9,1
92年 1月,79,459,174,264,132,305,12,42,54,57,70,44,74,67,19,18,8,25,64,84,8,－
92年 2月,58,370,151,201,214,269,15,23,66,59,67,41,49,53,16,20,4,23,35,49,4,－
92年 3月,16,467,142,220,144,226,35,30,41,47,43,26,45,43,3,15,1,17,26,43,3,－
92年 4月,59,395,139,250,119,230,20,29,41,22,46,30,56,41,2,17,2,18,14,42,1,－
92年 5月,40,223,74,238,92,198,13,26,33,18,45,20,54,49,4,19,－,19,12,33,2,－
92年 6月,40,433,151,302,168,182,21,36,57,58,37,38,49,40,13,9,2,12,26,38,3,2
