date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
91年 1月,3,79,－,6,26,40,9,3,6,11,7,10,20,11,－,2,2,2,1,10,4,－
91年 2月,3,49,3,7,20,36,11,4,9,3,10,8,24,2,－,－,2,1,1,5,－,－
91年 3月,8,94,1,26,25,46,14,－,8,14,10,16,29,6,1,2,2,5,1,9,6,－
91年 4月,9,77,－,20,26,59,10,4,4,14,16,18,26,8,－,6,2,5,2,16,3,－
91年 5月,5,81,2,11,23,52,11,4,7,17,7,7,30,8,－,5,3,1,2,18,4,－
91年 6月,9,87,2,20,27,40,7,－,8,12,10,12,33,8,－,3,2,6,1,22,1,－
91年 7月,17,66,－,19,30,45,13,13,8,13,10,8,34,3,－,5,1,7,3,32,3,－
91年 8月,6,70,－,28,22,34,12,4,9,16,6,18,32,12,－,7,2,4,3,4,2,－
91年 9月,7,52,－,28,18,41,11,7,7,13,8,10,25,9,1,2,4,7,2,12,2,－
91年 10月,4,74,1,27,17,36,11,6,11,15,19,13,22,10,－,7,3,6,4,9,2,－
91年 11月,9,63,－,30,24,46,11,9,10,16,12,11,36,11,1,2,2,5,1,6,3,－
91年 12月,5,72,1,20,15,50,11,9,7,9,11,11,15,7,－,2,5,4,5,4,1,－
92年 1月,14,79,－,16,21,54,13,8,13,15,10,11,25,11,－,4,2,5,1,9,4,－
92年 2月,7,47,1,17,26,37,9,3,5,12,11,9,33,4,－,4,－,5,1,4,3,－
92年 3月,1,76,2,19,26,42,16,2,15,13,5,5,34,5,－,－,2,2,－,4,4,－
92年 4月,7,65,－,19,25,33,8,5,9,4,8,7,33,10,－,2,1,5,4,7,2,－
92年 5月,12,75,1,12,13,62,12,8,12,7,13,9,35,9,1,2,－,6,1,4,1,－
92年 6月,11,66,－,31,23,36,9,2,10,12,15,11,17,3,－,2,1,2,－,6,－,－
92年 7月,11,74,1,24,37,50,13,7,7,6,7,4,32,6,－,4,1,－,－,8,3,－
92年 8月,4,72,－,20,28,35,5,4,8,15,7,5,28,7,2,1,－,4,1,6,2,－
92年 9月,5,75,1,28,21,48,16,2,8,12,6,7,17,3,－,4,－,4,－,12,2,－
92年 10月,9,85,13,33,17,39,9,12,9,21,13,6,29,3,2,3,5,1,－,7,2,－
92年 11月,11,81,5,32,19,51,14,4,4,23,6,6,17,6,－,4,1,8,－,6,1,－
92年 12月,10,112,4,35,10,35,11,5,9,17,10,11,19,7,－,7,2,11,1,3,3,－
93年 1月,6,74,－,21,11,49,8,2,2,24,4,8,13,8,－,4,1,1,1,2,4,－
93年 2月,3,92,1,19,19,29,11,4,－,19,12,5,15,4,－,6,2,3,－,7,－,－
93年 3月,5,90,－,23,13,58,9,4,4,29,13,4,24,2,－,6,3,3,－,9,1,－
93年 4月,7,82,－,38,9,46,5,7,1,21,6,6,33,4,－,9,3,1,－,5,1,－
93年 5月,8,108,－,45,21,58,5,5,1,24,7,5,19,3,－,6,6,3,2,5,－,－
93年 6月,8,115,－,36,18,46,14,3,1,26,12,3,18,3,－,7,－,5,－,8,2,－
93年 7月,8,103,1,19,24,44,14,14,1,17,6,4,14,7,－,2,5,5,1,8,2,－
93年 8月,5,101,－,21,19,40,7,4,2,19,10,7,17,3,2,4,3,4,－,14,2,－
93年 9月,5,104,1,24,17,39,10,3,3,13,12,10,20,7,－,2,6,5,3,8,2,－
93年 10月,4,124,1,23,26,37,10,6,5,14,9,9,20,6,－,3,－,3,3,7,3,－
93年 11月,4,114,4,30,22,46,9,5,6,12,13,12,16,4,－,3,7,5,－,7,2,－
93年 12月,4,107,5,42,23,59,13,5,－,14,14,5,25,4,－,1,7,4,4,5,2,－
94年 1月,6,94,6,22,12,44,13,4,－,26,15,6,17,4,－,2,6,9,－,4,－,－
94年 2月,4,67,2,20,8,35,5,3,－,19,7,4,8,1,－,2,2,5,1,1,2,－
94年 3月,3,96,4,32,21,48,18,6,4,19,12,10,19,6,－,5,3,15,－,7,3,－
94年 4月,3,109,1,27,24,52,10,11,3,27,6,6,30,7,－,3,－,－,1,9,3,－
94年 5月,4,124,4,30,11,65,7,8,1,29,10,10,21,9,－,3,4,8,1,8,6,－
94年 6月,5,128,1,24,30,52,10,2,2,40,11,10,21,8,－,2,5,8,1,8,3,－
94年 7月,2,146,3,33,26,62,4,2,3,25,11,2,18,6,－,3,10,5,－,5,－,－
94年 8月,4,139,3,25,35,59,14,5,1,30,18,7,23,4,－,4,2,4,－,8,2,－
94年 9月,8,125,3,32,22,84,10,9,1,19,12,6,16,1,－,6,－,7,－,4,3,－
94年 10月,8,150,6,26,24,97,11,7,9,27,14,12,22,5,－,3,－,11,7,4,2,1
94年 11月,7,174,12,32,28,82,14,7,5,24,10,7,20,5,－,2,2,4,8,8,4,－
94年 12月,3,145,3,23,18,76,10,11,4,28,11,14,21,7,－,1,4,7,9,12,4,－
95年 1月,3,121,6,31,27,66,16,7,4,30,10,7,17,3,－,1,2,9,6,6,－,－
95年 2月,8,122,5,25,20,61,13,9,4,21,9,6,16,5,－,1,6,6,6,9,4,－
95年 3月,12,150,10,49,60,80,9,13,2,38,17,8,19,7,－,2,1,10,9,5,2,－
95年 4月,11,141,16,29,53,74,6,6,2,21,18,13,13,5,－,2,2,7,17,10,1,－
95年 5月,12,155,8,40,60,86,12,11,5,32,15,10,26,9,－,－,3,6,13,9,2,－
95年 6月,11,144,22,25,49,93,16,8,4,35,12,6,26,8,－,－,1,6,19,7,1,－
95年 7月,13,150,13,33,48,89,16,4,1,31,6,1,20,10,－,－,2,7,6,8,2,－
95年 8月,22,141,16,33,54,85,8,6,1,21,3,11,13,2,－,3,3,12,7,6,2,－
95年 9月,19,141,8,33,53,81,14,14,2,29,14,1,21,8,－,1,－,8,8,7,1,－
95年 10月,24,132,5,31,37,87,9,8,3,27,16,9,33,10,1,5,4,10,7,8,1,－
95年 11月,463,130,19,22,43,90,12,6,2,28,13,6,18,9,－,2,3,11,10,10,1,－
95年 12月,106,131,20,32,62,82,12,6,3,29,7,5,27,13,－,1,6,8,7,5,2,－
96年 1月,87,160,14,38,49,89,12,9,5,34,14,8,16,8,－,2,3,10,8,4,2,－
96年 2月,62,101,4,15,30,49,9,6,－,21,6,3,10,4,－,5,2,7,2,2,－,－
