
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1990","--","--","--","--","--","--","23.5","774.5","54.5","10.5","1.0","16.5","880.5"
"1991","40.0","48.5","78.5","131.0","126.5","422.5","39.5","63.5","41.0","17.0","2.0","23.0","1033.0"
"1992","39.0","110.0","190.0","291.5","193.5","166.0","175.5","208.5","142.0","2.5","1.5","30.0","1550.0"
"1993","48.5","8.0","184.0","125.0","188.0","656.5","80.5","96.0","8.5","0.5","39.0","4.5","1439.0"
"1994","158.0","176.5","102.5","64.0","483.5","177.0","253.5","467.0","152.5","83.0","2.5","16.0","2136.0"
"1995","25.0","97.0","140.5","134.5","211.0","289.0","184.0","59.5","57.0","1.0","1.5","12.5","1212.5"
"1996","3.0","94.5","75.0","250.5","412.5","78.0","369.5","659.5","239.5","9.5","2.0","1.5","2195.0"
"1997","43.5","126.5","199.5","65.0","192.0","570.5","155.5","558.5","51.5","16.5","10.0","24.0","2013.0"
"1998","121.5","381.5","170.0","200.0","190.5","590.5","47.5","113.5","253.0","247.5","3.5","74.5","2393.5"
"1999","56.5","1.5","104.5","81.5","315.5","133.0","427.5","219.0","8.5","7.0","3.0","46.5","1404.0"
"2000","31.5","249.0","116.0","412.0","42.5","276.0","234.5","361.5","41.0","75.5","68.5","106.0","2014.0"
"2001","113.0","16.5","69.0","253.5","221.0","249.0","540.0","91.0","1053.0","39.5","5.5","20.5","2671.5"
"2002","13.0","10.5","26.5","17.5","161.0","79.0","320.0","103.0","194.5","28.0","13.5","66.0","1032.5"
"2003","31.0","29.5","69.5","152.0","172.0","272.5","25.5","177.0","27.5","1.0","0.5","0.0","958.0"
"2004","30.5","114.5","121.5","184.0","176.0","56.0","845.0","718.0","230.0","68.0","0.5","53.5","2597.5"
"2005","24.5","271.0","225.5","29.5","327.0","473.0","450.5","567.5","109.5","27.0","19.0","31.0","2555.0"
"2006","35.5","62.0","121.0","460.5","368.0","553.0","407.0","42.5","133.0","2.0","140.5","84.5","2409.5"
"2007","62.5","35.5","210.5","169.0","240.5","816.0","35.5","456.0","343.5","409.5","30.0","29.5","2838.0"
"2008","18.5","49.0","71.5","70.5","255.0","187.0","584.0","34.5","1314.0","35.5","36.0","24.5","2680.0"
"2009","1.0","21.0","180.5","212.5","13.5","231.5","20.5","812.5","52.5","7.0","34.0","23.5","1610.0"
"2010","43.5","184.5","50.5","143.5","233.5","534.0","213.0","104.0","236.0","3.5","20.5","43.0","1809.5"
"2011","40.5","27.5","--","--","--","--","--","--","--","--","214.0","45.0","327.0"
"2012","123.5","161.0","51.5","236.5","191.0","398.0","77.0","984.0","61.5","7.0","238.0","92.5","2621.5"
"2013","30.5","4.5","78.5","235.0","360.5","107.5","704.5","927.0","78.5","50.5","22.5","144.0","2743.5"
"2014","0.5","93.0","85.0","39.0","584.0","201.5","72.0","206.0","46.5","6.5","5.0","52.0","1391.0"
"2015","23.5","49.5","65.0","57.5","470.0","63.0","168.5","368.0","276.5","33.0","1.0","73.0","1648.5"
"2016","268.0","43.5","316.5","236.0","161.5","250.5","68.0","121.0","330.0","14.0","93.5","7.5","1910.0"
"2017","13.5","58.5","93.5","165.0","122.0","894.5","311.5","52.5","30.5","39.5","9.5","16.0","1806.5"
"2018","165.0","41.0","66.5","53.0","77.5","213.5","166.0","431.5","29.5","13.0","20.5","19.0","1296.0"
"2019","30.0","30.5","296.5","176.0","369.0","436.0","137.0","765.0","81.0","24.5","1.0","134.0","2480.5"
"2020","&","--","--","--","--","--","--","--","--","--","--","--","--"
"總和","1634.5","2596.0","3559.5","4645.5","6858.5","9374.5","7136.5","10542.0","5676.5","1279.5","1039.5","1314.0","總和"
