
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1990","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1991","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","/","/","/","/","/","/","/","/","/","/","/","/","--"
"1999","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2000","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2001","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2002","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2003","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2004","/","/","/","/","--","--","--","/","/","/","/","/","--"
"2005","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2006","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2007","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2008","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2009","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2010","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2011","/","/","--","--","--","--","--","--","--","--","87","90","89"
"2012","93","94","88","87","85","88","82","87","82","78","87","90","87"
"2013","98","93","87","94","94","92","88","87","85","80","83","86","89"
"2014","78","89","88","87","89","88","84","84","85","78","85","85","85"
"2015","82","86","92","89","97","94","85","83","83","85","84","88","87"
"2016","92","86","87","87","86","83","79","86","87","89","88","86","86"
"2017","89","85","87","81","85","84","83","83","83","81","89","84","85"
"2018","87","88","80","81","80","82","83","85","83","80","87","84","83"
"2019","87","89","87","86","89","81","79","88","83","80","80","84","84"
"2020","--","--","--","--","--","--","--","--","--","--","--","--","--"
"平均","88","89","87","87","88","87","83","85","84","81","86","86","平均"
