
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1992","--","--","--","--","--","0","12","18","9","0","0","3","42"
"1993","6","2","9","10","10","13","8","13","2","1","6","2","82"
"1994","7","11","7","5","11","12","11","17","7","2","0","4","94"
"1995","4","13","12","6","7","7","13","13","6","1","0","1","83"
"1996","3","8","6","10","14","10","11","14","4","3","2","3","88"
"1997","6","10","6","4","9","18","14","14","7","2","0","2","92"
"1998","6","17","8","13","12","17","8","15","6","7","2","6","117"
"1999","5","2","8","2","16","14","20","15","5","4","3","4","98"
"2000","3","8","6","15","5","12","12","15","2","3","4","5","90"
"2001","5","1","6","11","17","14","13","8","15","1","2","2","95"
"2002","5","1","6","1","8","7","17","10","8","0","2","7","72"
"2003","3","1","6","10","4","9","5","11","8","0","1","0","58"
"2004","4","7","11","6","8","3","13","17","9","1","1","4","84"
"2005","4","9","13","7","12","16","8","18","5","2","3","4","101"
"2006","3","3","9","11","13","17","9","10","12","0","12","3","102"
"2007","6","2","7","12","11","15","5","22","9","4","4","1","98"
"2008","4","8","6","5","8","11","16","7","12","2","4","3","86"
"2009","0","1","8","10","3","11","9","11","6","2","2","5","68"
"2010","8","10","4","14","6","15","9","15","12","3","5","2","103"
"2011","5","4","1","--","--","--","--","--","--","--","9","5","24"
"2012","10","10","3","13","11","17","12","14","5","1","10","9","115"
"2013","3","1","7","18","14","8","17","14","7","1","3","8","101"
"2014","1","10","9","6","20","11","4","11","8","0","4","8","92"
"2015","5","3","4","3","15","6","10","16","6","4","1","5","78"
"2016","16","7","16","9","8","17","9","13","13","6","8","1","123"
"2017","2","4","8","8","6","13","16","8","4","3","4","4","80"
"2018","13","9","4","3","3","12","14","18","5","2","5","1","89"
"2019","3","3","13","9","19","16","13","17","5","1","0","6","105"
"2020","1","1","4","8","12","7","8","18","2","1","3","7","72"
"2021","3","2","3","1","2","20","13","14","5","2","2","1","68"
"2022","10","12","9","6","14","11","5","10","7","3","3","1","91"
"2023","2","1","4","6","5","16","11","14","10","3","1","3","76"
"2024","2","2","4","9","10","13","14","13","15","3","2","2","89"
"2025","7","4","10","5","6","13","20","8","11","0","--","--","84"
"總和","165","187","237","256","319","401","379","451","247","68","108","122","總和"
