
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","13.9","16.5","18.1","19.3","19.6","19.6","18.4","16.9","16.4","13.1","17.2"
"1994","12.2","13.5","13.2","17.6","18.4","19.5","19.7","19.2","18.0","15.8","14.6","14.7","16.4"
"1995","11.4","11.2","14.0","17.3","18.0","19.7","19.5","19.1","19.1","18.3","14.9","11.5","16.2"
"1996","12.1","11.5","15.9","14.9","17.6","19.6","20.0","19.4","19.3","18.0","17.1","12.1","16.5"
"1997","11.6","12.5","14.2","16.4","17.8","18.6","19.3","19.5","18.2","17.4","15.5","13.5","16.2"
"1998","13.3","13.9","15.5","17.4","18.8","19.6","19.9","20.1","19.2","18.3","17.4","14.9","17.4"
"1999","13.3","12.2","16.6","17.2","17.6","19.5","19.6","19.2","18.9","18.1","15.4","12.6","16.7"
"2000","12.3","13.2","14.9","17.0","17.9","19.5","19.6","19.3","18.4","18.8","17.2","14.5","16.9"
"2001","12.7","14.2","14.7","17.3","19.1","19.6","20.0","20.2","19.0","17.4","14.1","13.0","16.8"
"2002","11.9","12.1","15.1","18.0","18.4","19.8","20.7","19.9","19.0","18.0","15.2","13.8","16.8"
"2003","11.0","13.4","14.3","17.6","18.9","19.4","20.6","20.1","19.6","16.7","16.8","11.8","16.7"
"2004","11.7","12.8","14.7","16.7","19.5","19.5","19.7","20.0","19.2","15.8","15.3","12.9","16.5"
"2005","11.8","14.3","12.9","16.8","19.1","19.6","20.4","19.8","19.4","17.9","16.4","12.2","16.7"
"2006","13.5","14.2","14.6","17.8","18.8","19.5","20.3","19.9","19.0","17.4","16.6","13.3","17.1"
"2007","12.5","13.4","15.3","16.2","18.4","19.7","20.4","19.6","19.3","17.8","15.5","13.7","16.8"
"2008","14.0","11.5","13.9","17.2","18.0","19.4","19.7","19.8","19.4","18.7","15.5","12.3","16.6"
"2009","10.6","15.5","15.4","16.0","17.3","19.5","20.5","20.3","20.3","18.3","16.0","12.3","16.8"
"2010","12.5","14.9","15.6","17.0","19.2","19.7","20.2","20.1","19.7","18.4","15.5","12.6","17.1"
"2011","11.3","12.7","13.2","15.4","18.9","20.5","20.1","20.2","19.5","18.2","17.4","13.5","16.7"
"2012","12.7","14.3","15.8","17.8","19.1","20.0","20.2","19.7","19.2","16.6","16.2","13.7","17.1"
"2013","12.4","15.1","15.6","16.6","18.8","20.4","19.9","20.0","19.4","16.9","15.8","12.2","16.9"
"2014","10.6","12.5","14.4","16.5","18.7","20.4","21.0","20.1","20.3","17.5","16.0","12.2","16.7"
"2015","11.3","12.6","15.4","17.4","19.1","20.6","21.1","--","--","--","--","--","16.8"
"2016","12.8","12.5","13.7","18.3","19.6","20.3","20.5","20.4","19.8","19.6","16.6","15.0","17.4"
"2017","13.3","12.4","14.4","16.4","18.6","19.9","19.9","20.3","20.3","18.2","17.3","13.0","17.0"
"2018","12.9","12.1","13.9","16.2","19.3","19.7","19.7","19.3","19.3","16.9","16.4","15.3","16.8"
"2019","13.8","15.0","15.2","17.9","18.2","19.9","20.3","20.0","19.0","17.6","15.6","13.4","17.2"
"2020","12.2","12.9","15.6","15.6","19.4","20.2","20.3","20.0","19.8","18.5","16.9","14.8","17.2"
"2021","10.7","13.0","15.6","16.8","20.3","19.6","20.2","19.7","20.0","18.5","16.1","13.2","17.0"
"2022","13.1","13.1","15.9","16.8","18.3","19.8","20.6","20.2","19.3","18.3","18.0","12.9","17.2"
"2023","12.9","13.8","14.4","17.2","18.8","20.2","21.2","--","--","--","--","--","16.9"
"2024","--","--","--","--","--","--","20.8","20.3","20.2","19.4","17.5","13.5","18.6"
"2025","12.3","17.3","21.8","20.1","19.2","20.3","20.1","20.0","--","--","--","--","18.9"
"平均","12.3","13.3","15.0","17.0","18.7","19.8","20.2","19.8","19.3","17.8","16.2","13.3","平均"
