
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","0","0","10","16","17","25","15","18","14","12","7","4","138"
"1994","9","15","9","13","23","23","27","26","18","9","1","5","178"
"1995","6","12","13","5","21","15","23","26","13","11","1","2","148"
"1996","2","7","3","15","25","14","23","22","14","14","5","5","149"
"1997","9","15","9","11","16","25","23","25","19","12","2","7","173"
"1998","7","16","9","14","27","23","16","24","19","15","2","10","182"
"1999","10","2","9","14","20","19","29","20","19","13","9","12","176"
"2000","6","13","7","15","18","21","28","24","11","11","6","6","166"
"2001","8","4","7","12","20","22","20","21","21","7","5","4","151"
"2002","5","3","9","3","19","22","21","20","20","11","3","8","144"
"2003","5","3","9","15","14","17","17","24","18","8","6","1","137"
"2004","7","7","13","11","12","14","25","21","16","5","1","2","134"
"2005","6","8","17","9","23","27","14","26","17","12","5","9","173"
"2006","8","2","12","16","23","23","22","23","20","8","14","8","179"
"2007","8","4","13","14","16","24","17","28","23","11","8","2","168"
"2008","10","11","10","15","23","21","22","19","25","13","6","5","180"
"2009","0","3","12","15","16","20","16","25","22","11","7","9","156"
"2010","7","10","7","16","12","24","22","30","23","14","7","7","179"
"2011","9","4","12","7","18","18","22","21","15","17","13","11","167"
"2012","13","12","5","17","20","24","19","27","13","4","13","12","179"
"2013","8","3","11","23","25","19","23","25","19","11","7","12","186"
"2014","1","13","10","16","29","24","19","22","18","4","5","15","176"
"2015","5","3","6","8","23","16","5","--","--","--","--","--","66"
"2016","20","15","15","12","19","24","17","18","22","12","9","6","189"
"2017","4","8","11","13","22","20","25","24","15","12","7","11","172"
"2018","19","14","8","12","11","25","28","30","17","16","7","5","192"
"2019","7","5","16","11","26","22","24","25","16","10","3","10","175"
"2020","6","4","11","14","21","16","26","27","15","17","11","13","181"
"2021","8","3","5","10","10","28","27","27","22","10","10","7","167"
"2022","10","11","11","10","23","25","20","26","20","14","6","4","180"
"2023","3","4","4","12","20","24","25","25","17","16","2","12","164"
"2024","3","3","9","11","20","10","24","28","23","14","7","8","160"
"2025","12","0","0","4","11","24","29","24","&","&","--","--","104"
"總和","241","237","312","409","643","698","713","771","564","354","195","232","總和"
