
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1987","--","--","--","--","--","214.0","3.5","9.0","330.5","182.0","160.5","&","899.5"
"1988","&","74.0","195.0","365.5","188.0","31.5","237.0","104.0","198.5","74.0","44.5","45.0","1557.0"
"1989","84.0","44.0","114.0","197.0","267.0","38.0","338.5","150.5","367.0","34.0","49.5","66.0","1749.5"
"1990","173.0","198.5","106.0","331.5","5.5","222.0","62.0","419.0","215.0","30.5","32.5","5.5","1801.0"
"1991","119.5","82.5","142.0","137.0","108.0","250.5","1.5","29.5","147.5","58.0","23.0","80.0","1179.0"
"1992","98.0","354.0","199.5","255.5","253.5","205.5","39.0","198.5","112.5","149.5","55.0","83.0","2003.5"
"1993","129.5","23.0","178.0","148.0","162.0","331.5","65.5","73.5","17.5","68.5","86.0","39.5","1322.5"
"1994","61.0","239.0","164.0","72.0","274.0","105.0","110.0","262.5","121.0","130.0","2.0","76.5","1617.0"
"1995","89.0","203.5","201.5","108.0","189.0","146.5","175.5","76.5","151.0","12.5","18.5","22.5","1394.0"
"1996","39.0","190.5","187.0","261.5","363.5","65.5","192.0","130.0","7.5","205.0","3.0","3.0","1647.5"
"1997","7.5","182.5","133.0","91.5","202.0","511.0","44.0","180.0","134.5","37.0","76.5","77.5","1677.0"
"1998","150.5","414.5","267.5","206.5","186.5","236.0","60.0","312.0","212.0","301.5","23.0","132.5","2502.5"
"1999","74.5","11.0","225.5","60.5","383.5","137.0","43.5","72.0","23.5","36.0","36.0","102.0","1205.0"
"2000","53.5","318.0","112.0","269.0","51.5","361.5","126.5","240.0","82.0","143.0","231.5","167.5","2156.0"
"2001","121.5","6.5","177.0","163.5","210.0","130.5","157.5","76.0","1173.5","14.5","11.5","32.5","2274.5"
"2002","48.0","66.5","188.5","24.5","101.5","84.0","202.5","26.0","105.5","55.0","21.0","56.5","979.5"
"2003","88.5","24.5","105.0","199.0","84.5","167.5","12.5","6.5","57.5","13.5","29.5","3.0","791.5"
"2004","92.5","162.0","234.0","137.0","175.0","4.0","224.0","352.5","512.5","88.5","19.5","107.5","2109.0"
"2005","61.5","301.5","270.5","52.0","624.5","168.5","275.0","332.5","64.0","114.0","15.0","55.5","2334.5"
"2006","61.0","105.5","220.0","326.0","305.5","587.0","283.5","41.0","316.5","0.5","96.5","176.5","2519.5"
"2007","109.5","67.0","224.5","171.0","85.0","764.0","5.0","224.5","194.0","221.0","150.0","39.0","2254.5"
"2008","104.5","188.0","139.0","210.5","274.5","202.5","284.0","0.0","672.0","32.0","137.0","42.0","2286.0"
"總和","1766.0","3256.5","3783.5","3787.0","4494.5","4963.5","2942.5","3316.0","5215.5","2000.5","1321.5","1413.0","總和"
