
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"2013","--","--","--","--","--","--","28.8","28.8","27.2","24.3","20.7","16.2","24.3"
"2014","15.5","15.2","17.4","21.5","24.4","27.5","29.8","29.3","28.9","24.1","21.4","15.9","22.6"
"2015","15.6","15.8","17.7","21.5","25.1","28.9","29.1","28.0","26.6","24.7","22.8","18.4","22.8"
"2016","15.7","14.3","16.3","22.6","26.2","28.7","29.6","29.1","27.4","26.3","21.9","19.3","23.1"
"2017","17.5","15.9","17.4","21.9","25.3","27.6","29.8","29.9","28.7","25.2","21.5","17.2","23.2"
"2018","15.9","14.2","19.0","22.6","26.7","27.4","29.3","28.7","27.4","23.1","21.8","18.5","22.9"
"2019","17.1","17.5","18.8","23.1","24.1","27.7","29.7","29.3","26.8","24.4","21.2","18.0","23.1"
"2020","16.5","16.9","19.3","20.0","25.8","28.7","30.0","29.2","26.7","24.0","22.4","17.4","23.1"
"2021","14.6","16.7","17.9","21.2","26.6","27.9","29.1","28.3","28.9","25.7","20.9","17.6","23.0"
"2022","16.5","15.3","19.2","21.4","22.7","27.2","29.4","29.4","27.0","24.0","22.7","16.2","22.6"
"2023","15.7","15.3","18.5","21.5","24.6","27.9","29.6","29.0","28.2","24.8","21.4","18.0","22.9"
"2024","15.8","16.4","18.5","24.2","24.4","27.8","29.8","29.3","28.7","25.3","21.6","17.0","23.2"
"2025","15.4","15.2","17.4","21.9","25.1","28.2","28.6","29.4","29.0","28.5","--","--","23.9"
"平均","16.0","15.7","18.1","22.0","25.1","28.0","29.4","29.1","27.8","25.0","21.7","17.5","平均"
