
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1972","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1973","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1974","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1975","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1976","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1977","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1978","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1979","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1980","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1981","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1982","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1983","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1984","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1985","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1986","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1987","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1988","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1989","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1990","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1991","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1999","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2000","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2001","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2002","13","10","13","6","11","8","13","8","13","12","13","12","132"
"2003","8","9","15","13","8","12","10","15","12","10","14","2","128"
"2004","15","8","16","8","13","11","12","12","18","10","8","16","147"
"2005","14","18","15","13","15","18","12","19","9","16","7","18","174"
"2006","15","9","16","17","19","18","11","11","15","8","17","10","166"
"2007","10","10","19","19","12","22","11","25","15","10","15","6","174"
"2008","13","23","13","18","17","18","11","5","18","5","12","8","161"
"2009","10","6","20","15","5","18","9","14","11","16","13","16","153"
"2010","14","14","8","21","14","23","10","13","13","17","14","8","169"
"2011","25","13","11","8","18","14","14","15","6","13","13","19","169"
"2012","15","18","12","19","17","13","7","18","10","5","14","16","164"
"2013","14","7","14","23","18","13","12","16","11","11","15","18","172"
"2014","6","14","15","12","22","18","12","13","7","9","9","15","152"
"2015","8","11","13","10","15","8","13","20","10","10","9","12","139"
"2016","20","17","19","14","11","18","13","11","19","14","12","6","174"
"2017","6","9","16","12","16","15","17","9","8","13","18","16","155"
"2018","15","15","8","8","3","11","8","17","16","15","13","13","142"
"2019","12","9","17","13","14","16","16","12","14","7","9","11","150"
"2020","11","5","17","15","15","6","8","13","13","9","10","22","144"
"2021","8","7","7","6","6","13","15","15","7","12","11","11","118"
"2022","12","19","10","7","20","15","11","9","13","19","6","17","158"
"總和","264","251","294","277","289","308","245","290","258","241","252","272","總和"
