
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1972","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1973","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1974","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1975","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1976","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1977","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1978","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1979","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1980","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1981","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1982","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1983","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1984","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1985","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1986","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1987","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1988","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1989","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1990","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1991","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1999","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2000","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2001","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2002","111.3","94.4","106.7","101.7","119.8","154.9","184.2","203.5","111.1","117.3","96.7","92.5","1494.1"
"2003","134.6","97.8","80.3","112.9","101.5","137.7","225.2","190.9","175.5","179.1","66.9","100.1","1602.5"
"2004","70.5","158.1","54.8","103.8","119.6","143.3","211.2","178.6","111.4","145.1","157.2","98.6","1552.2"
"2005","42.8","39.4","119.7","93.6","95.1","116.4","202.0","128.4","225.7","109.9","111.1","70.9","1355.0"
"2006","64.5","60.1","77.5","65.3","77.8","119.4","187.9","206.5","116.5","187.8","108.7","83.4","1355.4"
"2007","99.1","129.6","73.0","79.0","183.0","115.6","232.4","144.5","159.8","91.5","75.3","88.5","1471.3"
"2008","65.4","22.7","149.9","91.8","178.5","148.5","219.2","238.6","170.7","158.3","99.2","145.4","1688.2"
"2009","97.8","119.7","93.1","112.7","221.2","151.8","211.2","192.3","225.7","89.9","97.2","105.2","1717.8"
"2010","117.5","80.3","147.5","76.7","122.8","96.7","222.7","221.4","213.8","74.7","85.9","166.6","1626.6"
"2011","28.4","91.2","58.5","147.5","97.6","167.8","213.5","204.4","173.7","67.6","89.6","33.7","1373.5"
"2012","26.8","61.3","130.0","71.9","153.0","109.9","255.2","169.2","152.1","173.7","91.4","87.7","1482.2"
"2013","90.5","81.4","128.0","66.0","95.3","149.1","202.4","182.9","200.9","119.2","113.1","68.5","1497.3"
"2014","127.7","74.7","68.6","116.3","63.3","94.5","237.2","196.9","196.8","106.4","76.0","49.3","1407.7"
"2015","80.4","66.3","78.9","134.2","106.2","224.3","199.3","136.6","141.5","101.7","82.8","31.5","1383.7"
"2016","28.4","59.4","76.8","91.2","128.5","173.3","242.8","187.1","90.6","108.7","66.9","73.5","1327.2"
"2017","61.0","57.4","59.8","112.2","101.3","127.8","205.2","243.2","152.0","88.8","43.3","52.7","1304.7"
"2018","53.2","42.9","140.4","118.0","186.8","142.0","227.8","156.8","134.9","86.4","67.5","59.3","1416.0"
"2019","53.5","42.1","73.7","121.8","97.1","127.9","195.3","212.2","134.2","126.9","95.0","57.6","1337.3"
"2020","78.0","96.9","78.5","102.2","127.4","222.5","220.5","213.2","138.5","70.6","70.2","12.8","1431.3"
"2021","84.4","118.1","97.3","130.0","158.2","179.6","221.5","161.2","199.7","102.8","50.7","59.1","1562.6"
"2022","40.6","26.8","104.2","108.4","52.3","151.4","245.6","208.9","147.3","59.8","76.6","39.1","1261.0"
"總和","1556.4","1620.6","1997.2","2157.2","2586.3","3054.4","4562.3","3977.3","3372.4","2366.2","1821.3","1576.0","總和"
