
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","X","X","115.0","118.0","188.5","318.5","72.0","121.5","29.5","0.0","37.5","4.5","1005.0"
"1994","26.5","83.5","42.5","25.5","219.0","147.0","215.0","410.5","135.5","3.0","1.0","14.0","1323.0"
"1995","10.0","35.5","85.0","56.0","69.5","505.5","123.0","133.5","50.5","1.0","0.0","3.0","1072.5"
"1996","13.0","23.0","24.5","150.0","337.0","93.0","176.5","553.0","26.5","12.0","6.5","3.5","1418.5"
"1997","27.5","59.0","96.0","14.5","132.5","329.0","381.0","345.5","150.5","0.5","0.0","2.5","1538.5"
"1998","74.5","281.5","107.0","121.5","181.5","556.5","124.0","202.5","35.0","111.5","0.5","51.0","1847.0"
"1999","2.5","0.0","30.5","41.5","200.0","97.5","397.5","458.5","35.5","11.5","1.5","21.0","1297.5"
"2000","10.5","66.0","17.0","143.0","26.5","227.5","204.5","263.5","8.5","57.5","9.0","35.0","1068.5"
"2001","48.5","2.5","46.5","108.5","220.5","292.5","350.5","67.0","766.0","1.5","6.0","5.5","1915.5"
"2002","24.5","0.5","5.5","3.5","263.0","139.5","388.0","179.0","40.5","1.0","9.0","59.5","1113.5"
"2003","22.0","14.0","22.5","143.5","49.5","268.0","18.0","140.0","168.5","1.0","1.0","0.0","848.0"
"2004","4.5","41.0","40.0","91.5","78.5","16.0","767.0","233.0","73.5","10.5","1.0","69.0","1425.5"
"2005","11.5","118.5","152.0","39.5","325.5","611.0","339.0","315.0","210.5","37.0","1.5","7.5","2168.5"
"2006","9.5","10.5","76.5","131.0","173.0","586.5","307.0","99.0","236.0","0.0","125.0","31.0","1785.0"
"2007","56.5","15.5","35.5","88.5","94.0","250.0","47.0","765.5","152.0","213.0","21.0","0.0","1738.5"
"2008","17.0","23.0","22.5","19.5","69.5","308.0","727.5","79.0","439.0","62.5","22.0","11.5","1801.0"
"2009","0.0","3.5","103.0","107.5","5.0","215.5","111.5","711.0","199.0","29.5","16.0","19.0","1520.5"
"2010","21.0","78.5","12.5","67.5","93.5","326.5","387.0","132.0","161.0","6.0","31.0","22.5","1339.0"
"2011","28.5","20.5","21.5","5.0","89.0","111.5","253.5","124.0","14.5","21.0","212.0","27.5","928.5"
"2012","41.0","50.5","18.5","258.0","205.5","419.5","241.5","559.5","4.5","0.0","90.0","46.5","1935.0"
"2013","19.5","5.0","34.5","215.0","397.0","60.5","350.5","1313.0","83.5","0.0","23.5","58.0","2560.0"
"2014","0.0","20.5","53.5","16.5","416.5","262.5","92.0","235.0","95.0","0.0","2.5","22.5","1216.5"
"2015","10.0","12.5","8.0","53.5","0.5","--","99.0","481.0","280.0","24.5","2.0","50.5","1021.5"
"2016","148.0","25.0","144.5","144.5","34.5","334.5","189.0","154.0","384.0","13.0","57.0","11.0","1639.0"
"2017","2.5","1.5","42.0","92.0","64.0","983.5","342.0","123.5","72.0","59.0","19.0","7.0","1808.0"
"2018","88.0","30.5","29.0","21.0","39.0","250.5","330.5","547.0","23.5","2.0","21.5","0.0","1382.5"
"2019","8.0","16.5","135.5","66.0","200.0","388.5","162.5","482.5","245.5","1.0","0.0","142.5","1848.5"
"2020","14.0","7.5","38.5","36.5","405.0","79.0","99.0","293.5","57.5","0.5","7.0","20.0","1058.0"
"2021","2.5","31.0","9.5","36.5","109.5","665.5","174.0","525.0","29.5","10.5","5.0","25.0","1623.5"
"2022","26.5","102.5","105.5","55.5","304.5","200.0","63.5","393.0","36.5","5.5","1.0","22.5","1316.5"
"2023","5.5","5.0","17.0","104.5","164.0","190.0","200.0","156.5","114.0","30.5","0.0","11.5","998.5"
"2024","4.5","26.5","4.0","114.5","147.0","157.5","798.5","272.0","197.5","49.5","62.0","31.0","1864.5"
"2025","22.0","70.0","47.0","54.5","82.0","244.5","824.5","401.5","189.5","0.0","--","--","1935.5"
"總和","800.0","1281.0","1742.5","2744.0","5384.5","9635.5","9356.0","11270.0","4744.5","776.0","792.0","835.5","總和"
