
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","/","/","/","/","/","/","/","/","/","/","/","/","--"
"1999","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2000","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2001","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2002","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2003","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2004","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2005","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2006","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2007","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2008","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2009","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2010","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2011","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2012","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2013","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2014","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2015","--","--","--","--","/","--","76","80","77","79","77","78","78"
"2016","84","76","81","81","78","81","81","87","90","90","86","83","83"
"2017","87","82","82","80","83","84","81","79","75","73","81","75","80"
"2018","80","75","72","70","72","77","77","79","76","73","80","75","76"
"2019","78","78","80","79","82","79","78","84","77","75","73","78","78"
"2020","79","78","81","80","80","71","70","77","74","74","77","79","77"
"2021","76","77","79","77","76","83","80","82","78","78","78","78","79"
"2022","83","85","80","77","87","80","77","81","79","78","86","75","81"
"2023","80","80","76","80","81","82","78","84","84","82","75","78","80"
"2024","77","78","75","82","82","81","81","82","86","86","83","77","81"
"2025","76","84","79","78","80","82","89","81","84","81","--","--","81"
"平均","80","79","79","78","80","80","79","81","80","79","80","78","平均"
