
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1990","--","--","--","--","--","--","4","14","10","2","2","2","34"
"1991","13","6","11","10","4","12","6","7","9","5","3","3","89"
"1992","11","16","15","14","9","9","7","14","8","2","2","7","114"
"1993","9","2","16","15","12","13","7","10","2","1","5","5","97"
"1994","9","15","14","8","12","12","16","17","5","4","2","7","121"
"1995","9","18","16","8","11","8","11","12","5","1","1","3","103"
"1996","4","10","13","14","17","7","10","15","6","4","2","3","105"
"1997","8","14","9","5","10","19","13","20","8","6","2","4","118"
"1998","6","19","10","16","13","18","6","8","10","9","2","8","125"
"1999","9","2","12","5","16","10","17","15","6","5","3","4","104"
"2000","5","13","8","17","9","12","13","20","5","1","3","11","117"
"2001","8","4","7","17","16","14","15","6","16","4","2","8","117"
"2002","3","4","8","5","8","8","20","10","13","7","5","7","98"
"2003","4","3","9","12","7","14","4","14","6","2","1","0","76"
"2004","7","8","12","8","9","3","14","15","11","4","1","4","96"
"2005","4","15","17","7","11","15","8","16","8","2","4","6","113"
"2006","8","5","11","14","15","17","11","6","11","1","11","3","113"
"2007","6","5","13","14","11","18","9","19","8","4","7","2","116"
"2008","10","12","7","12","12","14","14","4","13","2","2","3","105"
"2009","2","1","14","13","3","12","7","14","4","2","8","7","87"
"2010","8","14","3","16","10","17","8","13","10","1","7","4","111"
"2011","9","5","--","--","--","--","--","--","--","--","9","10","33"
"2012","11","12","11","17","16","16","11","21","5","2","10","13","145"
"2013","8","6","11","20","16","13","14","14","7","2","5","13","129"
"2014","1","11","15","7","20","16","9","12","4","1","5","12","113"
"2015","4","7","9","7","15","7","7","16","7","5","1","7","92"
"2016","18","10","17","12","7","13","8","11","14","8","7","2","127"
"2017","5","7","13","11","9","15","13","10","5","4","14","7","113"
"2018","13","11","4","6","2","15","13","23","5","4","5","6","107"
"2019","8","2","15","10","18","15","13","20","7","1","1","5","115"
"2020","/","--","--","--","--","--","--","--","--","--","--","--","--"
"總和","220","257","320","320","318","362","308","396","228","96","132","176","總和"
