
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1992","--","--","--","--","--","--","--","28.6","27.0","23.1","20.1","19.1","23.6"
"1993","15.1","18.3","19.4","22.3","25.8","27.8","29.1","28.6","27.2","24.4","22.4","18.0","23.2"
"1994","17.0","17.7","18.0","25.1","26.4","27.8","28.7","27.8","26.3","23.8","21.9","20.9","23.5"
"1995","16.3","15.5","18.5","23.4","25.4","28.1","28.3","28.0","27.5","25.4","20.5","16.8","22.8"
"1996","16.6","16.0","20.3","19.8","24.6","28.2","29.4","28.3","27.9","25.3","22.7","17.7","23.1"
"1997","16.1","16.5","20.5","23.7","25.9","26.6","28.1","27.9","26.1","25.0","21.9","19.1","23.1"
"1998","17.5","17.7","20.7","25.1","27.0","27.6","29.6","29.4","27.3","25.6","23.2","19.8","24.2"
"1999","17.6","18.0","21.5","24.1","24.6","28.0","28.1","27.9","27.6","25.6","22.2","17.4","23.5"
"2000","17.0","16.5","19.1","23.1","25.8","27.7","28.5","27.6","27.1","26.0","22.5","19.8","23.4"
"2001","17.5","18.7","20.7","23.0","26.5","28.0","28.6","29.2","26.5","24.8","20.4","18.6","23.5"
"2002","16.9","19.5","21.9","24.7","26.4","28.6","28.6","28.7","27.2","25.4","21.6","19.1","24.1"
"2003","16.1","18.7","19.8","24.1","26.3","27.4","29.7","28.7","28.1","24.8","23.2","17.4","23.7"
"2004","16.3","17.4","19.6","23.1","27.0","28.3","28.2","28.3","27.0","23.4","22.2","19.1","23.3"
"2005","16.3","17.1","17.7","23.8","26.9","27.4","29.1","28.2","28.3","25.7","23.2","16.8","23.4"
"2006","17.6","18.3","19.8","24.2","26.2","27.4","29.4","28.9","27.0","25.7","23.1","18.7","23.9"
"2007","17.0","19.2","20.8","22.3","26.5","27.8","29.9","27.8","27.5","25.3","21.5","19.5","23.8"
"2008","17.9","15.3","20.4","24.3","25.9","27.6","28.4","28.8","27.9","26.7","22.0","18.2","23.6"
"2009","15.4","21.3","20.2","22.6","25.8","28.0","29.4","29.1","29.3","25.6","22.0","17.7","23.9"
"2010","17.1","19.0","21.5","22.4","26.6","27.3","29.4","29.0","28.0","25.7","21.4","17.7","23.8"
"2011","14.9","16.9","17.3","--","--","--","--","--","--","--","23.6","17.9","18.1"
"2012","16.7","16.7","20.0","24.8","27.0","28.0","29.4","28.3","27.8","24.9","22.4","18.7","23.7"
"2013","17.2","20.0","21.7","22.8","27.1","29.4","29.1","29.0","28.4","25.4","22.3","17.4","24.2"
"2014","16.6","17.5","20.5","24.5","26.5","29.4","30.8","29.2","29.2","25.4","23.2","17.2","24.2"
"2015","17.2","18.4","21.4","24.8","27.2","30.2","29.7","28.4","28.2","26.5","24.5","19.8","24.7"
"2016","17.1","16.7","18.7","25.2","27.9","29.1","30.2","29.5","28.0","27.5","24.2","20.5","24.5"
"2017","18.9","17.9","20.5","23.7","27.1","28.5","29.3","29.7","29.3","26.4","23.2","18.4","24.4"
"2018","17.2","16.5","20.9","24.3","28.3","28.6","29.1","28.3","28.1","24.6","23.1","20.5","24.1"
"2019","18.9","20.6","21.2","24.8","25.5","28.3","29.3","28.6","27.7","26.1","23.1","19.5","24.5"
"2020","18.3","19.4","22.5","22.6","28.0","29.7","30.4","29.0","28.7","26.3","23.9","19.9","24.9"
"2021","16.0","18.9","21.6","24.1","28.7","28.2","29.8","28.7","29.8","27.1","22.9","19.2","24.6"
"2022","18.3","17.3","22.1","24.1","25.3","28.7","29.9","29.0","27.7","25.4","24.1","17.5","24.1"
"2023","17.1","17.9","20.3","23.6","26.5","28.9","29.8","29.2","28.6","26.6","23.0","20.0","24.3"
"2024","17.5","19.5","21.4","26.2","26.6","30.3","30.3","29.8","29.2","27.7","24.8","19.7","25.3"
"2025","17.8","18.8","21.6","25.6","28.8","30.6","28.9","29.6","29.6","30.0","--","--","26.1"
"平均","17.0","18.0","20.4","23.8","26.6","28.4","29.3","28.7","27.9","25.7","22.6","18.7","平均"
