
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1992","--","--","--","--","--","X","214.0","376.0","112.0","0.0","0.0","8.0","710.0"
"1993","11.0","1.5","110.5","169.5","260.0","277.0","151.5","174.0","27.5","1.0","165.5","4.5","1353.5"
"1994","79.5","180.0","41.5","11.5","949.5","233.0","186.5","341.5","102.0","8.0","0.0","12.5","2145.5"
"1995","8.0","72.0","68.5","56.0","109.0","424.0","249.0","74.0","51.0","2.0","0.0","2.0","1115.5"
"1996","13.0","28.0","33.5","147.0","401.0","78.5","151.5","425.0","7.0","7.5","4.0","5.0","1301.0"
"1997","21.5","67.5","171.0","17.5","194.5","424.5","241.0","116.0","79.5","4.5","0.0","6.0","1343.5"
"1998","121.0","335.0","136.5","166.0","160.5","440.0","86.0","204.5","38.5","119.5","1.0","42.0","1850.5"
"1999","11.5","1.5","51.5","41.5","259.5","108.0","431.0","375.5","29.5","8.0","2.0","24.0","1343.5"
"2000","17.0","147.0","28.0","220.0","11.5","242.5","221.0","354.0","39.5","51.5","14.0","59.5","1405.5"
"2001","58.5","2.5","46.5","134.0","222.5","205.5","365.0","45.5","564.5","1.0","2.5","5.5","1653.5"
"2002","27.0","0.5","12.5","1.0","192.5","94.0","362.0","138.0","86.5","0.0","11.0","51.0","976.0"
"2003","20.5","19.0","24.5","127.0","82.0","302.5","60.0","120.5","52.0","0.0","0.5","0.0","808.5"
"2004","7.5","59.5","54.0","103.5","98.0","16.0","766.0","355.0","94.5","6.0","1.5","54.0","1615.5"
"2005","16.5","143.5","147.5","63.5","383.0","534.0","277.0","230.0","103.0","22.5","2.5","10.0","1933.0"
"2006","11.5","13.0","76.5","147.5","237.0","621.5","299.0","152.0","243.0","0.0","98.5","44.0","1943.5"
"2007","48.5","24.5","76.0","106.5","134.5","405.0","61.5","557.0","309.5","222.0","17.5","3.5","1966.0"
"2008","16.0","22.0","29.5","30.5","134.5","212.5","583.0","98.5","615.5","58.5","18.0","11.0","1829.5"
"2009","0.0","1.5","106.5","163.5","12.5","291.0","63.0","515.0","45.5","13.0","12.5","25.0","1249.0"
"2010","31.0","86.5","64.5","105.5","112.0","426.5","253.0","134.0","216.0","2.0","23.5","23.0","1477.5"
"2011","25.5","18.0","4.5","--","--","--","--","--","--","--","154.0","33.0","235.0"
"2012","45.5","107.5","21.0","206.5","336.5","321.5","271.5","489.5","125.5","0.5","99.5","56.5","2081.5"
"2013","11.0","1.5","42.5","235.5","335.0","122.5","431.5","677.0","39.5","1.5","14.0","54.0","1965.5"
"2014","1.0","27.0","37.0","16.5","447.5","135.5","96.0","77.0","86.0","0.0","2.0","20.0","945.5"
"2015","12.0","10.5","4.0","37.5","463.0","62.0","35.5","395.0","150.0","35.5","0.5","29.0","1234.5"
"2016","188.0","22.0","165.0","142.0","47.5","218.5","76.5","186.0","262.5","40.5","65.5","12.0","1426.0"
"2017","5.0","8.0","42.5","123.5","110.0","995.0","353.5","71.5","26.0","64.0","28.0","10.0","1837.0"
"2018","105.5","32.0","31.5","32.0","86.0","195.5","450.0","530.5","39.5","2.0","17.5","0.5","1522.5"
"2019","9.0","8.0","133.5","82.5","290.5","466.0","186.0","395.5","53.0","8.0","0.0","101.5","1733.5"
"2020","18.5","0.5","49.5","38.0","285.5","37.0","80.0","210.5","4.5","0.5","2.5","25.5","752.5"
"2021","2.0","29.0","12.5","22.0","198.0","779.5","129.0","657.5","18.0","10.0","10.0","20.0","1887.5"
"2022","30.5","102.5","93.0","42.0","367.0","354.0","37.5","277.0","53.0","6.5","2.0","14.0","1379.0"
"2023","5.0","14.5","15.0","84.5","217.0","213.5","173.5","286.0","396.0","37.5","1.5","14.0","1458.0"
"2024","5.0","20.0","14.5","156.0","84.0","150.0","549.0","200.5","214.0","71.5","53.5","29.5","1547.5"
"2025","24.5","59.0","82.5","47.0","204.5","212.5","729.5","359.5","140.0","0.0","--","--","1859.0"
"總和","1007.5","1665.0","2027.5","3077.0","7426.0","9599.0","8620.0","9599.0","4424.0","805.0","825.0","810.0","總和"
