
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","/","/","/","/","/","/","/","/","/","/","/","/","--"
"1999","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2000","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2001","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2002","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2003","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2004","/","/","/","/","--","--","/","--","/","/","/","/","--"
"2005","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2006","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2007","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2008","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2009","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2010","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2011","/","/","/","--","--","--","--","--","--","--","81","76","79"
"2012","81","84","79","83","81","85","79","88","77","73","83","79","81"
"2013","78","76","75","84","83","77","76","82","79","70","75","75","78"
"2014","70","79","79","81","90","84","75","75","76","70","75","73","77"
"2015","72","73","75","72","81","74","75","80","76","77","76","76","76"
"2016","83","74","82","82","78","79","74","81","84","84","80","79","80"
"2017","81","76","80","81","84","86","76","77","77","76","82","78","80"
"2018","83","82","77","77","79","82","83","85","81","76","85","79","81"
"2019","83","82","86","88","92","87","85","91","81","79","75","81","84"
"2020","82","81","81","80","85","79","76","86","78","75","80","81","80"
"2021","77","79","82","79","81","89","83","85","78","77","77","76","80"
"2022","84","89","83","80","90","84","78","81","78","77","86","75","82"
"2023","79","78","75","81","82","86","80","86","85","82","75","78","81"
"2024","78","78","76","84","79","78","77","79","79","84","77","72","78"
"2025","71","76","74","74","75","78","81","77","80","77","--","--","76"
"平均","79","79","79","80","83","82","78","82","79","77","79","77","平均"
