
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","X","X","148.0","174.0","744.5","1075.0","334.0","393.5","228.0","49.5","52.0","10.5","3209.0"
"1994","35.5","140.0","81.0","102.5","682.5","393.0","717.0","1960.0","240.0","364.5","1.0","30.5","4747.5"
"1995","35.0","78.0","112.5","123.0","301.0","829.5","525.5","349.5","110.5","46.0","0.5","11.0","2522.0"
"1996","37.0","26.5","19.0","251.5","654.0","228.0","968.5","1300.5","199.0","73.5","23.5","9.5","3790.5"
"1997","50.0","132.5","226.0","74.0","333.5","1025.5","545.0","866.5","169.0","49.0","1.0","26.5","3498.5"
"1998","120.0","359.5","266.0","297.5","314.0","1008.0","177.5","633.5","451.0","499.0","1.5","99.5","4227.0"
"1999","35.0","1.0","50.5","96.5","382.0","258.5","729.5","951.5","154.0","106.5","39.0","78.0","2882.0"
"2000","20.5","122.0","60.0","294.0","176.0","416.5","527.0","766.0","129.0","128.5","74.5","45.5","2759.5"
"2001","94.5","3.5","99.5","153.0","716.0","656.5","860.0","247.0","1186.5","47.5","27.0","15.0","4106.0"
"2002","72.0","3.0","34.5","4.5","351.5","380.5","668.0","464.5","200.5","38.0","4.5","98.5","2320.0"
"2003","40.0","15.0","70.5","250.5","168.0","866.0","153.0","283.5","295.5","146.0","24.5","0.5","2313.0"
"2004","15.0","46.0","73.5","104.0","282.0","96.5","1600.0","1074.0","202.5","43.0","1.0","78.5","3616.0"
"2005","18.5","168.0","253.0","90.5","708.5","1009.0","1360.0","1140.5","655.0","207.5","30.0","22.5","5663.0"
"2006","23.0","3.5","132.5","254.0","557.0","1520.0","1344.5","318.5","337.5","13.0","106.0","39.5","4649.0"
"2007","124.0","28.5","45.0","128.0","386.0","597.5","185.5","1446.0","623.0","1167.5","36.5","5.5","4773.0"
"2008","55.0","52.5","52.0","161.5","477.0","489.0","1661.0","162.0","2676.5","96.0","46.5","10.5","5939.5"
"2009","0.0","8.0","162.5","263.0","91.0","587.0","147.0","3144.5","188.0","48.0","34.5","43.5","4717.0"
"2010","39.0","116.5","28.0","209.5","346.5","539.5","732.5","434.0","554.5","107.0","63.5","56.0","3226.5"
"2011","54.0","39.5","58.0","12.5","395.5","234.0","736.5","542.5","94.5","107.5","228.0","58.0","2560.5"
"2012","60.5","94.0","23.5","287.5","731.0","1435.0","322.5","1038.5","105.5","5.0","150.5","85.5","4339.0"
"2013","32.5","3.0","46.5","287.5","760.0","204.5","1028.0","1509.0","227.0","27.5","21.0","81.0","4227.5"
"2014","0.5","96.0","106.0","45.0","762.0","538.5","648.0","346.5","260.5","4.0","11.5","89.0","2907.5"
"2015","20.5","50.0","26.0","82.5","1023.0","105.5","80.0","--","--","--","--","--","1387.5"
"2016","284.0","64.0","288.5","275.0","220.0","801.5","333.0","278.5","1315.0","80.5","83.0","21.5","4044.5"
"2017","4.5","27.5","70.0","165.5","398.5","1588.5","861.5","234.5","144.0","106.5","19.5","25.0","3645.5"
"2018","151.5","94.5","59.5","116.5","121.5","709.0","792.5","1244.5","231.0","59.0","20.0","3.0","3602.5"
"2019","14.5","5.0","165.0","189.0","941.5","737.0","336.0","1313.0","149.5","43.5","3.0","154.5","4051.5"
"2020","21.5","26.5","228.0","91.0","838.5","173.5","354.5","384.0","151.5","32.5","33.0","51.5","2386.0"
"2021","23.0","22.5","25.0","83.0","221.0","1111.0","503.0","1369.5","258.5","57.5","48.0","70.0","3792.0"
"2022","76.0","133.0","98.0","92.5","581.5","435.5","286.5","507.5","378.5","68.5","7.0","28.5","2693.0"
"2023","18.0","15.0","21.5","110.5","316.5","298.5","479.0","1121.0","366.0","107.5","1.0","66.5","2921.0"
"2024","10.0","43.5","27.5","301.5","367.5","208.0","2107.5","523.0","391.5","364.5","155.5","42.0","4542.0"
"2025","45.0","0.0","0.0","12.0","178.5","582.5","1978.0","744.5","&","&","--","--","3540.5"
"總和","1630.0","2018.0","3157.0","5183.0","15527.5","21138.0","24082.0","27092.0","12673.0","4294.0","1348.0","1457.0","總和"
