
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","/","/","/","/","/","/","/","/","/","/","/","/","--"
"1999","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2000","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2001","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2002","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2003","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2004","/","/","/","/","--","--","--","--","/","/","/","/","--"
"2005","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2006","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2007","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2008","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2009","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2010","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2011","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2012","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2013","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2014","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2015","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2016","88","85","87","83","89","92","92","94","95","91","90","84","89"
"2017","85","87","91","89","93","92","94","95","92","93","89","87","91"
"2018","87","89","84","92","92","95","96","96","95","92","89","85","91"
"2019","86","84","87","86","97","93","94","97","94","94","88","87","91"
"2020","83","83","89","88","91","90","93","94","93","93","90","89","90"
"2021","83","81","89","91","83","95","94","94","94","92","90","86","89"
"2022","86","87","86","90","93","91","93","95","93","94","90","83","90"
"2023","81","85","81","91","92","93","88","--","--","--","--","--","87"
"2024","--","--","--","--","--","--","96","96","95","93","91","87","93"
"2025","87","76","67","81","93","94","97","95","--","--","--","--","86"
"平均","85","84","85","88","91","93","94","95","94","93","90","86","平均"
