
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1987","--","--","--","--","--","11","2","2","9","6","11","/","41"
"1988","/","16","20","17","9","4","5","9","13","8","7","5","113"
"1989","15","11","4","15","16","6","9","7","12","5","10","12","122"
"1990","18","11","8","17","4","10","4","13","13","4","8","3","113"
"1991","18","7","14","10","4","9","2","5","15","13","10","9","116"
"1992","13","19","20","17","12","11","2","10","8","9","13","9","143"
"1993","15","8","17","18","10","10","4","6","4","5","9","8","114"
"1994","7","17","17","10","7","6","6","14","5","9","3","11","112"
"1995","16","18","19","10","13","7","9","9","6","5","2","4","118"
"1996","11","7","15","19","19","11","10","6","5","5","6","3","117"
"1997","2","16","13","6","8","18","7","10","11","6","4","13","114"
"1998","17","18","15","15","10","13","7","7","11","13","9","11","146"
"1999","7","5","14","9","14","9","8","8","4","3","4","12","97"
"2000","12","15","10","18","6","9","6","17","7","8","11","11","130"
"2001","11","9","14","16","15","9","8","6","21","5","5","9","128"
"2002","9","7","10","4","7","8","8","5","11","9","10","8","96"
"2003","10","9","11","12","8","12","3","5","6","6","11","4","97"
"2004","12","8","16","9","11","4","9","11","15","9","4","9","117"
"2005","11","19","16","11","14","12","5","13","9","11","5","12","138"
"2006","12","11","15","15","16","11","10","5","8","1","17","11","132"
"2007","10","8","15","16","10","15","2","17","10","7","14","6","130"
"2008","11","21","10","15","14","12","11","0","14","2","9","5","124"
"總和","237","260","293","279","227","217","137","185","217","149","182","175","總和"
