
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1987","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1988","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1989","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1990","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1991","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","/","--","--","--","--","--","--","--","--","--","--","--","--"
"1999","/","/","--","--","--","--","--","--","--","--","--","--","--"
"2000","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2001","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2002","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2003","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2004","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2005","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2006","/","/","/","/","/","/","/","/","/","/","/","/","--"
"2007","/","/","/","/","83","/","/","/","66","74","77","77","75"
"2008","81","82","72","77","73","78","76","71","75","75","74","70","75"
"平均","81","82","72","77","78","78","76","71","71","75","76","74","平均"
