
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"2013","--","--","--","--","--","--","114.3","510.6","34.5","7.0","37.0","163.0","866.4"
"2014","7.6","158.9","78.3","89.9","567.6","132.2","40.7","46.5","29.5","18.9","23.5","65.9","1259.5"
"2015","18.0","81.0","134.5","104.0","360.8","21.4","8.7","205.4","84.1","97.2","13.5","87.3","1215.9"
"2016","263.4","82.1","271.4","172.6","83.6","476.1","17.6","88.0","218.0","69.7","111.4","10.7","1864.6"
"2017","25.4","82.1","170.7","121.3","83.4","761.2","37.3","23.8","18.3","159.8","68.8","40.1","1592.2"
"2018","282.5","106.6","47.6","75.2","24.2","63.7","57.3","207.4","103.1","54.8","36.5","78.1","1137.0"
"2019","49.5","72.9","229.7","115.0","500.7","454.6","52.4","172.6","221.4","8.8","32.5","186.0","2096.1"
"2020","42.0","53.7","167.8","71.3","413.4","36.4","5.5","153.0","105.5","28.0","13.0","101.0","1190.6"
"2021","42.0","62.0","91.0","61.0","88.0","211.0","81.0","237.0","5.5","179.0","46.0","84.0","1187.5"
"2022","85.0","257.0","155.5","59.5","528.0","215.0","68.0","29.0","46.0","170.5","120.5","122.5","1856.5"
"2023","18.5","68.0","26.5","161.5","366.5","82.5","9.5","197.0","34.0","53.5","9.5","87.0","1114.0"
"2024","43.0","63.0","151.0","190.0","139.5","187.5","101.5","36.5","341.0","171.0","72.0","25.0","1521.0"
"2025","22.0","79.0","227.5","237.0","344.0","40.5","375.0","0.5","20.0","0.0","--","--","1345.5"
"總和","898.9","1166.3","1751.5","1458.3","3499.7","2682.1","968.8","1907.3","1260.9","1018.2","584.2","1050.6","總和"
