
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"2013","--","--","--","--","--","--","4","12","9","8","10","12","55"
"2014","3","13","12","8","20","11","5","4","2","6","10","10","104"
"2015","3","8","15","10","14","5","6","15","7","7","5","10","105"
"2016","20","16","18","13","9","11","4","9","17","11","11","4","143"
"2017","5","8","17","12","8","13","6","3","7","11","17","11","118"
"2018","13","13","10","9","1","10","9","18","9","14","12","15","133"
"2019","10","10","17","14","18","13","9","10","13","6","9","9","138"
"2020","5","5","12","14","13","4","3","8","8","9","6","21","108"
"2021","9","7","7","4","5","9","6","5","2","11","9","10","84"
"2022","14","17","10","9","19","11","7","3","10","12","7","18","137"
"2023","11","7","7","10","11","9","3","11","6","11","3","12","101"
"2024","7","10","10","14","12","9","5","2","12","16","13","10","120"
"2025","7","10","12","12","9","8","15","1","4","0","--","--","78"
"總和","107","124","147","129","139","113","82","101","106","122","112","142","總和"
