
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1972","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1973","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1974","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1975","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1976","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1977","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1978","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1979","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1980","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1981","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1982","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1983","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1984","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1985","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1986","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1987","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1988","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1989","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1990","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1991","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1999","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2000","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2001","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2002","15.6","17.3","20.7","23.5","26.2","28.4","29.2","29.7","26.7","24.7","20.4","18.5","23.4"
"2003","15.8","17.3","17.9","23.4","25.1","27.1","30.2","29.5","28.0","24.0","22.0","17.1","23.1"
"2004","15.3","17.6","17.5","21.8","25.8","27.2","28.8","28.6","26.4","22.3","22.0","19.0","22.7"
"2005","15.0","15.7","16.6","22.4","25.8","27.7","29.2","28.5","28.3","24.6","22.6","16.0","22.7"
"2006","17.2","17.3","18.2","22.7","25.0","27.4","29.6","29.2","26.7","25.3","22.3","18.3","23.3"
"2007","16.9","18.2","19.3","20.9","26.1","27.6","29.8","28.2","27.3","24.4","20.4","18.9","23.2"
"2008","16.6","13.9","19.0","22.5","24.8","27.2","29.2","29.5","27.7","25.9","21.4","18.0","23.0"
"2009","15.3","20.0","18.4","21.1","25.1","27.8","29.9","29.5","29.1","24.1","21.3","16.8","23.2"
"2010","16.7","17.3","19.7","20.6","25.2","26.0","29.8","29.7","28.5","24.3","21.0","16.9","23.0"
"2011","13.6","16.4","15.9","21.2","24.5","28.6","29.2","29.3","27.5","24.1","22.9","16.8","22.5"
"2012","15.8","16.2","18.5","22.9","25.8","27.7","30.2","28.9","26.9","23.8","21.1","17.7","23.0"
"2013","16.5","18.6","19.7","21.0","25.8","29.0","29.2","29.1","27.8","24.0","21.2","16.2","23.2"
"2014","16.2","16.0","18.5","22.4","25.1","28.0","30.2","29.7","29.6","24.5","22.0","16.2","23.2"
"2015","16.3","17.0","18.7","22.6","26.0","29.8","29.7","28.4","27.2","25.2","23.4","18.8","23.6"
"2016","16.1","15.0","17.2","23.7","26.8","28.8","29.9","29.6","27.7","26.9","22.4","19.9","23.7"
"2017","18.1","16.8","18.0","22.2","25.6","27.9","29.7","30.7","29.2","25.3","22.3","17.6","23.6"
"2018","16.6","15.1","19.9","23.0","27.8","28.3","30.0","29.0","27.8","23.1","22.4","19.1","23.5"
"2019","18.2","18.6","19.5","23.7","24.7","28.1","29.9","30.0","27.0","24.9","21.7","18.6","23.7"
"2020","17.3","18.1","20.3","20.4","26.6","30.0","30.4","29.6","27.2","24.4","23.0","17.9","23.8"
"2021","15.8","18.8","20.2","22.3","28.1","29.0","30.0","28.7","29.2","25.8","21.2","18.1","23.9"
"2022","17.2","16.3","20.8","22.4","23.5","27.9","30.4","30.1","27.2","24.1","23.6","16.5","23.3"
"平均","16.3","17.0","18.8","22.2","25.7","28.1","29.7","29.3","27.8","24.6","21.9","17.8","平均"
