
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1972","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1973","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1974","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1975","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1976","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1977","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1978","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1979","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1980","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1981","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1982","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1983","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1984","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1985","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1986","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1987","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1988","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1989","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1990","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1991","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1999","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2000","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2001","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2002","80.7","87.5","144.2","27.7","117.1","109.6","317.4","31.4","169.3","66.9","78.6","97.0","1327.4"
"2003","64.7","35.4","94.4","139.5","84.1","193.4","120.4","151.0","174.5","87.1","45.0","1.7","1191.2"
"2004","112.6","189.2","201.1","113.9","198.4","69.1","333.8","718.3","627.9","210.0","26.2","191.8","2992.3"
"2005","83.2","403.4","353.6","81.2","506.1","367.8","304.4","541.8","208.9","152.9","34.0","62.1","3099.4"
"2006","72.7","79.5","223.4","297.6","327.6","342.6","188.7","188.6","274.1","18.4","133.5","138.6","2285.3"
"2007","108.6","70.4","291.8","213.6","94.7","779.0","202.8","438.6","350.9","246.8","181.2","40.3","3018.7"
"2008","81.0","172.5","144.0","134.2","299.6","329.2","228.4","145.7","965.8","26.9","143.5","49.6","2720.4"
"2009","40.4","32.9","184.8","94.2","26.3","322.6","38.7","381.9","116.6","205.1","92.6","80.4","1616.5"
"2010","121.5","249.7","63.2","129.5","171.1","397.1","140.0","343.7","176.5","326.4","84.7","87.6","2291.0"
"2011","97.9","74.3","136.7","30.6","253.6","354.4","186.7","178.6","48.9","101.4","262.0","183.9","1909.0"
"2012","188.3","323.5","101.5","267.4","222.6","656.3","145.5","496.2","120.7","69.8","264.5","227.0","3083.3"
"2013","107.7","30.0","65.0","291.2","351.2","132.5","255.1","720.4","158.8","76.1","66.3","233.7","2488.0"
"2014","34.7","215.5","165.5","85.1","580.4","425.8","234.2","135.6","185.0","42.8","123.0","141.6","2369.2"
"2015","24.7","95.5","187.2","79.4","239.4","230.1","261.8","529.6","234.0","145.0","24.9","80.6","2132.2"
"2016","297.8","104.6","317.0","159.5","155.4","576.4","280.5","194.4","503.2","121.2","116.5","14.5","2841.0"
"2017","25.0","124.4","205.0","125.7","152.9","673.0","212.6","124.6","51.2","364.1","124.5","71.1","2254.1"
"2018","291.2","191.8","34.5","74.0","35.0","46.1","209.7","188.4","158.6","128.7","89.8","69.9","1517.7"
"2019","48.8","69.1","197.8","115.4","388.7","452.3","362.7","210.0","291.4","33.5","18.9","182.0","2370.6"
"2020","47.6","37.5","307.0","97.1","427.6","108.3","256.0","342.0","164.0","30.0","25.0","142.0","1984.1"
"2021","53.5","35.0","88.5","76.5","108.5","291.5","421.5","418.5","123.0","223.0","73.0","70.5","1983.0"
"2022","116.5","294.0","211.5","98.0","486.5","262.5","185.5","68.0","249.5","393.0","147.5","116.0","2628.5"
"總和","2099.1","2915.7","3717.7","2731.3","5226.8","7119.6","4886.4","6547.3","5352.8","3069.1","2155.2","2281.9","總和"
