
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1972","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1973","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1974","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1975","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1976","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1977","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1978","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1979","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1980","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1981","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1982","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1983","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1984","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1985","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1986","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1987","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1988","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1989","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1990","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1991","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1994","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1995","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1996","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1997","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1998","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1999","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2000","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2001","--","--","--","--","--","--","--","--","--","--","--","--","--"
"2002","76","76","76","79","73","76","73","68","76","76","77","79","75"
"2003","74","78","75","77","76","80","74","75","75","72","83","74","76"
"2004","81","76","83","77","79","74","72","73","79","73","73","73","76"
"2005","79","83","72","72","77","77","74","79","72","79","77","80","77"
"2006","87","81","78","77","80","78","74","72","76","71","76","77","77"
"2007","75","74","81","77","71","80","72","77","75","74","77","75","76"
"2008","80","83","73","76","73","78","74","71","76","75","75","72","76"
"2009","75","77","78","73","67","75","72","75","70","75","75","75","74"
"2010","76","82","74","77","76","80","72","72","73","76","74","72","75"
"2011","81","78","75","71","78","74","72","70","67","72","78","79","75"
"2012","81","80","74","74","71","77","67","73","69","66","74","75","73"
"2013","73","76","71","76","74","71","69","70","67","68","68","73","71"
"2014","63","75","72","74","80","78","72","74","69","68","72","69","72"
"2015","67","72","77","74","76","71","70","73","70","70","71","71","72"
"2016","79","77","77","75","71","71","67","68","74","72","72","72","73"
"2017","73","68","72","69","75","79","72","69","72","74","78","75","73"
"2018","77","80","74","71","70","75","71","75","72","74","78","82","75"
"2019","82","78","78","77","74","76","73","71","76","71","74","79","76"
"2020","79","76","79","76","78","71","70","72","75","76","76","86","76"
"2021","75","73","79","74","74","73","72","78","71","74","78","77","75"
"2022","82","87","77","75","85","78","70","71","74","80","82","84","79"
"平均","77","78","76","75","75","76","72","73","73","73","76","76","平均"
