
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","--","--","19.4","22.4","26.1","28.0","29.1","28.7","27.1","23.9","22.3","17.6","24.5"
"1994","16.7","17.6","17.8","25.1","26.7","28.1","28.7","27.8","26.3","23.7","22.0","20.6","23.4"
"1995","16.2","15.2","18.3","23.5","25.6","28.3","28.5","27.8","27.6","25.0","20.3","16.5","22.7"
"1996","16.5","15.6","20.2","19.8","24.5","28.5","29.3","28.4","28.0","25.3","22.5","17.5","23.0"
"1997","16.0","16.1","20.4","23.7","26.2","27.0","28.2","27.9","26.1","25.0","22.3","18.8","23.1"
"1998","17.3","17.6","20.5","25.0","26.8","27.9","29.4","29.3","27.3","25.4","23.1","19.4","24.1"
"1999","17.2","17.8","21.4","24.1","24.9","28.3","28.0","27.8","27.8","25.4","21.8","17.3","23.5"
"2000","16.8","16.0","18.6","23.2","25.9","28.0","28.6","27.7","27.3","26.0","22.3","19.4","23.3"
"2001","17.3","18.2","20.7","22.9","26.5","28.2","28.7","29.4","26.5","24.5","20.3","18.4","23.5"
"2002","16.9","18.5","22.0","24.8","26.1","28.8","28.9","29.1","27.8","25.7","21.6","19.0","24.1"
"2003","15.9","18.5","19.6","24.0","26.6","27.5","30.0","28.9","28.2","24.6","23.0","17.2","23.7"
"2004","16.0","17.3","19.3","23.2","27.4","28.6","28.4","28.7","27.3","22.9","22.0","18.8","23.3"
"2005","15.8","16.6","17.4","23.8","27.1","27.6","29.3","28.5","28.7","25.9","23.6","17.1","23.5"
"2006","17.5","18.2","20.0","24.6","26.5","27.6","29.5","29.1","27.6","26.2","23.4","18.9","24.1"
"2007","17.2","19.8","21.2","22.8","27.1","28.4","30.2","28.1","28.1","25.5","21.5","19.6","24.1"
"2008","17.8","14.8","20.6","24.5","26.2","27.8","28.5","29.1","28.0","27.0","22.0","18.3","23.7"
"2009","15.6","21.5","20.3","22.8","26.4","28.3","29.6","29.2","29.5","25.7","22.1","17.7","24.1"
"2010","17.1","18.7","21.6","22.3","26.8","27.5","29.1","29.3","28.2","25.6","21.4","18.0","23.8"
"2011","14.7","16.9","18.1","23.1","26.1","29.0","29.0","29.5","28.3","25.5","23.6","17.8","23.5"
"2012","16.5","16.4","20.0","25.0","27.3","28.0","29.5","28.3","28.2","25.0","22.4","18.6","23.8"
"2013","16.8","19.4","21.4","22.5","26.8","29.1","28.8","28.7","28.2","25.1","22.0","17.1","23.8"
"2014","16.6","17.3","20.1","24.1","26.3","28.9","30.5","29.2","29.5","25.5","23.1","17.0","24.0"
"2015","16.9","18.1","21.0","24.5","27.1","--","28.9","27.9","27.6","25.7","24.0","19.2","23.7"
"2016","16.3","16.0","18.1","24.9","27.6","29.0","29.5","28.9","27.4","27.1","23.1","19.9","24.0"
"2017","18.3","17.2","19.9","23.4","26.7","28.4","29.0","29.5","29.3","26.0","22.7","18.0","24.0"
"2018","16.7","15.5","20.1","24.3","28.3","28.3","29.0","28.0","28.0","24.2","22.8","20.2","23.8"
"2019","18.4","20.2","20.7","24.3","25.2","28.1","28.9","28.2","27.3","25.4","22.2","18.6","24.0"
"2020","17.4","18.4","21.6","21.7","27.3","29.6","30.2","28.7","28.4","25.6","23.4","19.1","24.3"
"2021","15.6","18.5","21.1","23.5","28.7","28.1","29.3","28.5","29.4","26.6","22.3","18.5","24.2"
"2022","17.6","16.4","21.5","23.4","24.6","28.5","30.0","29.2","28.1","25.4","24.2","17.6","23.9"
"2023","17.0","17.6","20.4","23.9","26.5","29.0","29.7","29.2","28.5","26.1","22.8","19.7","24.2"
"2024","17.2","19.1","21.1","26.2","26.3","29.2","29.6","29.4","28.8","26.6","22.9","18.0","24.5"
"2025","15.9","16.4","19.7","24.0","27.2","29.0","28.5","29.3","29.0","29.3","--","--","24.8"
"平均","16.7","17.5","20.1","23.7","26.5","28.3","29.2","28.7","28.0","25.5","22.5","18.4","平均"
