
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","總和"
"1992","--","--","--","--","--","--","--","--","--","--","--","--","--"
"1993","0","0","8","10","8","15","7","8","3","0","7","2","68"
"1994","7","13","7","5","8","15","10","17","5","1","1","3","92"
"1995","5","11","11","4","8","8","14","14","6","1","0","2","84"
"1996","3","4","5","13","15","8","9","11","4","5","1","3","81"
"1997","7","9","7","3","7","20","10","16","7","1","0","1","88"
"1998","8","16","10","12","12","15","6","11","5","6","1","5","107"
"1999","3","0","4","3","13","12","22","13","5","7","2","3","87"
"2000","4","9","5","11","9","14","12","15","2","3","4","4","92"
"2001","6","2","6","11","11","14","14","11","15","1","4","3","98"
"2002","4","1","4","3","8","6","17","12","7","1","2","7","72"
"2003","2","1","5","9","3","9","6","10","7","1","2","0","55"
"2004","4","7","9","7","6","4","13","15","9","1","1","2","78"
"2005","2","8","15","4","11","15","10","16","5","1","1","5","93"
"2006","4","2","11","11","12","18","12","12","7","0","13","3","105"
"2007","5","3","6","10","8","13","3","20","11","3","6","0","88"
"2008","4","6","5","6","9","12","14","7","11","2","3","3","82"
"2009","0","1","7","9","2","11","8","14","6","2","2","7","69"
"2010","7","9","3","9","5","15","13","14","11","2","4","2","94"
"2011","6","5","6","3","7","10","14","8","4","4","9","5","81"
"2012","12","9","4","13","10","17","8","17","3","0","9","7","109"
"2013","2","2","7","18","15","9","16","13","6","0","4","7","99"
"2014","0","8","6","4","20","14","7","15","7","0","3","10","94"
"2015","5","2","4","4","1","--","8","15","5","4","1","4","53"
"2016","17","7","15","9","9","16","13","13","16","4","4","1","124"
"2017","1","2","6","9","6","13","17","9","4","3","5","3","78"
"2018","12","7","4","3","2","13","15","20","4","2","5","0","87"
"2019","3","4","11","7","18","16","16","20","6","1","0","7","109"
"2020","1","2","4","8","12","6","7","16","4","1","4","6","71"
"2021","2","2","1","4","3","19","13","10","6","3","3","5","71"
"2022","9","13","8","6","15","12","8","15","7","2","2","1","98"
"2023","1","1","3","5","4","12","12","13","10","2","0","2","65"
"2024","2","3","3","9","10","11","18","13","9","4","4","2","88"
"2025","6","5","10","4","7","13","20","8","9","0","--","--","82"
"總和","154","174","220","246","294","405","392","441","226","68","107","115","總和"
