station_name,year,month,avg_humidity,avg_temp,precipitation,rainy_days,sunshine_hours
三義1,1990,1,--,--,--,--,
三義1,1990,10,--,21.3,10.5,2,
三義1,1990,11,--,19.2,1.0,2,
三義1,1990,12,--,15.6,16.5,2,
三義1,1990,2,--,--,--,--,
三義1,1990,3,--,--,--,--,
三義1,1990,4,--,--,--,--,
三義1,1990,5,--,--,--,--,
三義1,1990,6,--,--,--,--,
三義1,1990,7,--,26.0,23.5,4,
三義1,1990,8,--,25.7,774.5,14,
三義1,1990,9,--,24.6,54.5,10,
三義1,1991,1,--,13.7,40.0,13,
三義1,1991,10,--,20.5,17.0,5,
三義1,1991,11,--,17.8,2.0,3,
三義1,1991,12,--,15.3,23.0,3,
三義1,1991,2,--,13.7,48.5,6,
三義1,1991,3,--,17.7,78.5,11,
三義1,1991,4,--,20.0,131.0,10,
三義1,1991,5,--,23.3,126.5,4,
三義1,1991,6,--,25.4,422.5,12,
三義1,1991,7,--,26.2,39.5,6,
三義1,1991,8,--,26.1,63.5,7,
三義1,1991,9,--,24.5,41.0,9,
三義1,1992,1,--,12.6,39.0,11,
三義1,1992,10,--,19.9,2.5,2,
三義1,1992,11,--,17.1,1.5,2,
三義1,1992,12,--,16.0,30.0,7,
三義1,1992,2,--,12.8,110.0,16,
三義1,1992,3,--,16.6,190.0,15,
三義1,1992,4,--,20.0,291.5,14,
三義1,1992,5,--,21.4,193.5,9,
三義1,1992,6,--,24.4,166.0,9,
三義1,1992,7,--,25.8,175.5,7,
三義1,1992,8,--,26.1,208.5,14,
三義1,1992,9,--,24.4,142.0,8,
三義1,1993,1,--,11.9,48.5,9,
三義1,1993,10,--,21.2,0.5,1,
三義1,1993,11,--,19.7,39.0,5,
三義1,1993,12,--,14.9,4.5,5,
三義1,1993,2,--,15.1,8.0,2,
三義1,1993,3,--,16.0,184.0,16,
三義1,1993,4,--,19.4,125.0,15,
三義1,1993,5,--,23.0,188.0,12,
三義1,1993,6,--,25.7,656.5,13,
三義1,1993,7,--,26.6,80.5,7,
三義1,1993,8,--,26.0,96.0,10,
三義1,1993,9,--,24.3,8.5,2,
三義1,1994,1,--,13.8,158.0,9,
三義1,1994,10,--,20.8,83.0,4,
三義1,1994,11,--,19.2,2.5,2,
三義1,1994,12,--,17.7,16.0,7,
三義1,1994,2,--,14.4,176.5,15,
三義1,1994,3,--,14.3,102.5,14,
三義1,1994,4,--,21.9,64.0,8,
三義1,1994,5,--,23.6,483.5,12,
三義1,1994,6,--,25.6,177.0,12,
三義1,1994,7,--,25.9,253.5,16,
三義1,1994,8,--,25.4,467.0,17,
三義1,1994,9,--,23.2,152.5,5,
三義1,1995,1,--,12.9,25.0,9,
三義1,1995,10,--,22.3,1.0,1,
三義1,1995,11,--,17.4,1.5,1,
三義1,1995,12,--,13.8,12.5,3,
三義1,1995,2,--,12.0,97.0,18,
三義1,1995,3,--,15.3,140.5,16,
三義1,1995,4,--,20.5,134.5,8,
三義1,1995,5,--,22.4,211.0,11,
三義1,1995,6,--,25.7,289.0,8,
三義1,1995,7,--,25.9,184.0,11,
三義1,1995,8,--,25.4,59.5,12,
三義1,1995,9,--,24.6,57.0,5,
三義1,1996,1,--,13.6,3.0,4,
三義1,1996,10,--,22.0,9.5,4,
三義1,1996,11,--,19.6,2.0,2,
三義1,1996,12,--,14.5,1.5,3,
三義1,1996,2,--,12.5,94.5,10,
三義1,1996,3,--,16.6,75.0,13,
三義1,1996,4,--,16.7,250.5,14,
三義1,1996,5,--,21.7,412.5,17,
三義1,1996,6,--,26.0,78.0,7,
三義1,1996,7,--,26.6,369.5,10,
三義1,1996,8,--,25.9,659.5,15,
三義1,1996,9,--,25.1,239.5,6,
三義1,1997,1,--,13.0,43.5,8,
三義1,1997,10,--,21.8,16.5,6,
三義1,1997,11,--,19.2,10.0,2,
三義1,1997,12,--,15.9,24.0,4,
三義1,1997,2,--,13.4,126.5,14,
三義1,1997,3,--,17.0,199.5,9,
三義1,1997,4,--,20.3,65.0,5,
三義1,1997,5,--,23.4,192.0,10,
三義1,1997,6,--,24.2,570.5,19,
三義1,1997,7,--,25.6,155.5,13,
三義1,1997,8,--,25.6,558.5,20,
三義1,1997,9,--,23.4,51.5,8,
三義1,1998,1,/,14.0,121.5,6,
三義1,1998,10,/,22.5,247.5,9,
三義1,1998,11,/,20.1,3.5,2,
三義1,1998,12,/,16.7,74.5,8,
三義1,1998,2,/,14.6,381.5,19,
三義1,1998,3,/,17.1,170.0,10,
三義1,1998,4,/,22.2,200.0,16,
三義1,1998,5,/,24.1,190.5,13,
三義1,1998,6,/,25.5,590.5,18,
三義1,1998,7,/,27.2,47.5,6,
三義1,1998,8,/,26.9,113.5,8,
三義1,1998,9,/,24.4,253.0,10,
三義1,1999,1,/,14.3,56.5,9,
三義1,1999,10,/,22.8,7.0,5,
三義1,1999,11,/,19.1,3.0,3,
三義1,1999,12,/,14.2,46.5,4,
三義1,1999,2,/,14.3,1.5,2,
三義1,1999,3,/,17.5,104.5,12,
三義1,1999,4,/,20.7,81.5,5,
三義1,1999,5,/,21.8,315.5,16,
三義1,1999,6,/,25.7,133.0,10,
三義1,1999,7,/,25.9,427.5,17,
三義1,1999,8,/,25.6,219.0,15,
三義1,1999,9,/,25.1,8.5,6,
三義1,2000,1,/,14.1,31.5,5,
三義1,2000,10,/,23.1,75.5,1,
三義1,2000,11,/,19.6,68.5,3,
三義1,2000,12,/,16.7,106.0,11,
三義1,2000,2,/,13.5,249.0,13,
三義1,2000,3,/,16.1,116.0,8,
三義1,2000,4,/,19.8,412.0,17,
三義1,2000,5,/,23.1,42.5,9,
三義1,2000,6,/,25.4,276.0,12,
三義1,2000,7,/,26.2,234.5,13,
三義1,2000,8,/,25.4,361.5,20,
三義1,2000,9,/,24.1,41.0,5,
三義1,2001,1,/,14.5,113.0,8,
三義1,2001,10,/,21.5,39.5,4,
三義1,2001,11,/,17.3,5.5,2,
三義1,2001,12,/,15.3,20.5,8,
三義1,2001,2,/,15.1,16.5,4,
三義1,2001,3,/,17.1,69.0,7,
三義1,2001,4,/,19.5,253.5,17,
三義1,2001,5,/,23.5,221.0,16,
三義1,2001,6,/,25.6,249.0,14,
三義1,2001,7,/,25.9,540.0,15,
三義1,2001,8,/,26.6,91.0,6,
三義1,2001,9,/,24.0,1053.0,16,
三義1,2002,1,/,13.6,13.0,3,
三義1,2002,10,/,22.2,28.0,7,
三義1,2002,11,/,18.1,13.5,5,
三義1,2002,12,/,15.9,66.0,7,
三義1,2002,2,/,14.9,10.5,4,
三義1,2002,3,/,18.7,26.5,8,
三義1,2002,4,/,21.8,17.5,5,
三義1,2002,5,/,24.0,161.0,8,
三義1,2002,6,/,26.2,79.0,8,
三義1,2002,7,/,26.2,320.0,20,
三義1,2002,8,/,26.3,103.0,10,
三義1,2002,9,/,24.3,194.5,13,
三義1,2003,1,/,12.9,31.0,4,
三義1,2003,10,/,21.8,1.0,2,
三義1,2003,11,/,19.9,0.5,1,
三義1,2003,12,/,14.4,0.0,0,
三義1,2003,2,/,15.3,29.5,3,
三義1,2003,3,/,16.1,69.5,9,
三義1,2003,4,/,21.3,152.0,12,
三義1,2003,5,/,23.2,172.0,7,
三義1,2003,6,/,24.8,272.5,14,
三義1,2003,7,/,27.3,25.5,4,
三義1,2003,8,/,26.4,177.0,14,
三義1,2003,9,/,25.3,27.5,6,
三義1,2004,1,/,12.7,30.5,7,
三義1,2004,10,/,19.9,68.0,4,
三義1,2004,11,/,19.0,0.5,1,
三義1,2004,12,/,15.9,53.5,4,
